college_id,college_name,location_id
111,Anhui Provincial 安徽高等學堂,60
112,University of Arizona,113
115,Aurora University 震旦大學,877
119,Beiyang Military Academy 保定軍校,63
120,Berlin Technische Hochschule (Berlin T. H.),432
122,Berlin University,121
126,Boone College 文華書院,68
127,Brown University,128
129,University of California,130
131,California Institute of Technology (Caltech),130
133,Canton Christian College 廣東嶺南學堂,74
134,Carnegie,135
136,Case,137
138,Changsha Educational Mission School,67
139,University of Chicago,140
141,"Chihli Provincial College, Baoding 直隸高等學堂",63
142,University Of Cincinnati,137
143,Clark University,144
145,Colgate University,146
147,City College of New York,146
148,Colorado College,149
150,Colorado School of Mines (Colorado M. S.),149
151,Columbia University,8693
152,Cornell University 康乃爾大學,59843
153,Dartmouth College,154
155,"Technische Universität Dresden (Technische Hochschule Dresden, Dresden T.H.)",121
156,Drexel University,135
158,Ecole Superieure d'Electricite,159
160,Fort Leavenworth,161
164,Fuzhou Anglo-Chinese 福州英華書院,61
165,Georgetown University,166
167,University of Glasgow,125
169,Guangzhou Telegraph School,74
170,Hartford High School,125
171,Harvard University 哈佛大學,144
172,"Henan Provincial College, Kaifeng 河南高等學堂",66
175,Honolulu Anglo-Chinese Academy,176
177,Hooker Grammar School,178
179,University of Illinois,140
180,International Institute 上海尚賢堂,92
181,University of Iowa,182
184,Johns Hopkins University,185
186,Jiangxi Provincial College,70
187,King's College,125
188,Lehigh University,135
189,Li Shing Scientific College HK 香港格致書院,1072
190,University of London,125
191,University of Louisiana,192
193,Lowell Textile,144
194,University of Massachusetts (Amherst),144
195,M. I. T. (Massachusetts Institute of Technology),144
196,"Memphis, Huzhou 湖州孟斐斯學校",62
197,Michigan Mining School,199
198,University of Michigan,199
201,Mills Institute Honolulu,176
202,Mukden College of Languages,64
203,University of Minnesota,204
206,Nanjing Christian 南京匯文學校,71
207,Nanjing River Conservancy College,71
208,Nankai School 天津南開學校,63
209,Naval College Tianjin 天津北洋水師學堂,63
211,Fuzhou Naval College,61
212,New York University (N. Y. U.),8693
213,Northwestern University,140
214,Norwich University,215
216,Ohio Northern University,137
217,Ohio State University,137
218,Ohio Wesleyan University,137
219,University of Oregon,220
221,Peking College of Finance,82
222,Peking Methodist 滙文大學,82
223,University of Pennsylvania,135
224,University of Pittsburgh,135
225,Princeton University,226
227,Purdue University,228
229,Tsinghua (Qinghua) University 清華大學,410
230,Queen's College HK,1072
232,Rensselaer Polytechnic Institute (Ren. P. I.),59844
233,Shandong College 山東高等學堂,77
234,Shanghai Anglo-Chinese 上海中西書院,877
235,Shanghai Jiaotong University (Jiaotong Technical College/Nanyang University) 交通大學/交通部上海工專/南洋大學/交通部工專,877
236,Shanghai Huiying 上海彚英書館,92
239,Shanghai Tongwen 同文館,92
240,Shanhaiguan Railway Engineering School,63
241,Shuntien College 順天高等學堂,82
242,University of Southern California,130
244,St. Xavier's,92
245,St. Louis,176
247,St. Stephen's,1072
248,Stanford University,130
249,Steven's Institute of Technology,226
250,Suzhou Railway College,71
251,Suzhou University 蘇州東吳大學,71
252,Syracuse University,59845
254,Thomas Hanbury School,92
255,Tianjin Telegraph School 天津電報學堂,63
256,Tianjin Anglo-Chinese 天津新學書院,427
257,Tokyo Commercial 東京高等商業學校,604
261,University of Toronto,262
263,Trinity University,264
265,Union College,146
266,US Military Academy (West Point),146
267,University of Virginia,268
269,Virginia Military Institute,268
270,Washington University in St. Louis,271
272,Wellesley College,144
273,West Virginia University,274
275,Williston Academy,144
276,University of Wisconsin,277
278,Worcester Polytechnic Institute (Worcester P. I. ),144
279,Yale University,280
281,"Zhejiang Provincial, Hangzhou 浙江高等學堂",62
328,湖南水利工專,67
349,"Xiangqin University, Guangzhou 勷勤大學",350
354,Wuhan University 武漢大學,356
426,Tientsin Kung Shang College 天津工商學院,427
451,Guomin University 國民大學,350
455,Central University 中央大學,90
483,University of Nanking 金陵大學,90
498,Beiping University 北平大學,410
516,Sun Yat-sen University 中山大學,350
520,Jiangxi Polytechnical College 江西工專,522
529,Hunan University 湖南大學,590
555,National Southwestern Associated University 西南聯合大學,556
561,Nantong College 南通學院/南通大學,562
603,東京鐵道學校,604
639,Technische Hochschule München,640
649,Henan Water Conservancy College 河南水利工專 (河南水利工程專門學校),717
675,Fudan University 復旦大學,877
692,Beiyang University/Beiyang Technical Institute 北洋大學/北洋工學院,427
725,Shanxi University 山西大學,726
728,秋田礦山專門學校,729
800,山東工專,77
821,Northeastern University 東北大學,511
837,Nankai University 南開大學,427
855,Shanxi Polytechnic College 山西工專,726
876,Institut Technique Franco-Chinois de Shanghai 中法國立工學院 (中法工學院),877
901,St. John's University 聖約翰大學,877
982,Kansas University,983
994,The University of Hong Kong 香港大學,1072
998,Zhejiang University 浙江大學,999
1051,Politechnik 工專,121
1102,Saumur I. E.,1103
1138,Royal Mines S.,125
1253,東陸大學,556
1269,Chongqing University 重慶大學,1270
1307,National Nanjing Higher Normal School 南京高等師範工藝專校,90
1310,Tokyo Institute of Technology 日本東京工業大學 (日本東京高工/東京高等工業學校),604
1369,University of Grenoble,1370
1413,首都電廠新廠工程處土木組服務,90
1483,New Bedford Tex. S,1484
1499,Tangshan Jiaotong University 唐山工專/交通部唐山工業專校/交通大學唐山學院/交通部唐山大學/唐山大學/交通部唐山工專/交通部唐山學院,445
1516,Shandong University 山東大學,77
1568,Glasgow Royal Technical College,1569
1679,Hangchow College of Sciences and Humanities 之江大學/之江文理學院,999
1730,Beijing Jiaotong University 交通部交通傳習所/交通部郵電學校/北平交通大學/交通大學北平學校/北京交通大學,410
1742,The Great China University 大夏大學,877
1907,Beijing Institute of Technology 北京高等實業學堂/北京工業專門學校/北京工業大學,410
1946,Paris University,1948
1950,Paris G.C.E.,1948
1995,Nevada University,1996
2004,The Lester School and Henry Lester Institute of Technical Education 雷士德工學院 (雷氏德工學院),877
2033,Imperial Chinese Railway College 北洋山海關鐵路官學堂 (北洋山海關鐵路學堂),8312
2036,Boston I. T.,2037
2078,日本仙島高等工商專門學校,NA
2102,日本明治專門學校,2103
2121,Lyon University,2122
2173,Stevens I. T.,1387
2224,Tongji University 同濟大學,877
2278,Mulhouse University,2279
2328,"Hebei Provincial Technological Institute 河北工業學院 (河北省工業學院, 河北工學院)",63
2370,Marconi's C.,125
2483,哈爾濱工業大學,13060
2571,九州帝國大學,29091
2584,Kyoto University 日本京都帝國大學,2585
2678,日本東亞鐵道專校,258
2685,Ford Trade School (Ford T. S.),17289
2740,China University of Mining and Technology 福中礦務大學,3074
2840,Charleroi T. U.,2753
2876,Yunnan University 雲南大學,556
2888,Northwestern College of Engineering 西北工學院,2889
3044,Lingnan University 嶺南大學,350
3059,Brussels University,3060
3073,Jiaozuo College of Engineering 焦作工學院,3074
3146,University of Sheffield,7643
3157,University of Maine,3158
3174,Koenigsberg Universitaet,3175
3314,Oberlin College,137
3350,日本秋田礦山專校,729
3530,Zhejiang Polytechnical College 浙江公立工業專門學校/浙江工專,999
3789,Case App. Sci. S.,1387
3817,通慶大學,NA
3945,Imperial Sci. Tech. C.,1387
4017,Breslau Technische Hochschule,4018
4034,意國都林大學,4035
4094,Nancy University,4095
4120,南京高等工藝專校,90
4163,Leeds University,4164
4419,Guangxi University 廣西大學,4422
4581,Kwang Hua University 光華大學,877
4599,Paris S.E.E.,1948
4670,日本福岡明治工專,29091
4718,University of Birmingham 伯明翰大學,3552
4776,Southeast University 東南大學,90
4827,Darmstadt T. H.,4828
4908,University of Shanghai (Hujiang University) 滬江大學,877
4925,南京江南高等實業學堂 (江南高等實業學校),1881
5094,Bolton Tech. C.,5095
5275,d'Etudes P. I.,2753
5378,Frankfurt University,5379
5390,日本名古屋高工,3105
5466,Liege U. (University of Liège),5467
5509,Cameige P. I.,1387
5652,空軍機械學校,NA
5712,Colorado University,149
5740,Tokyo Imperial University 日本東京帝國大學,604
5919,巴黎工科函授學校,1948
6057,日本神戶高工,6058
6102,University of Toulouse,6103
6140,I. C. S.,1387
6339,Grenoble E. I.,1370
6467,University of Poitiers,6468
6977,日本東北帝國大學,6978
7025,Rouen E. Nancy University,159
7087,Woosung Merchant Marine School 交通部吳淞商船學校,7212
