employer_id,employer_name,location_id,parent_id,parent_name
284,Chinese Government Purchasing Commission,125,NA,NA
290,Nanjing Republican Government,71,NA,NA
292,American Legation,410,NA,NA
294,Beijing Industrial Institute,82,NA,NA
302,"Chinese Delegation, Paris Peace Conference",159,NA,NA
309,Chinese Educational Mission,149,NA,NA
311,Chinese Embassy,166,NA,NA
330,湖南新化礦務局,67,NA,NA
373,津浦鐵路流浦口電廠,374,NA,NA
379,湖南水口山鉛鋅礦務局,67,NA,NA
390,九澧平民工廠,NA,NA,NA
394,省營黑鉛鍊廠冶鍊,NA,NA,NA
396,烘砂爐,NA,NA,NA
398,建設廳鑽探工程,NA,NA,NA
400,湖南鍊鋅廠,67,NA,NA
407,山海關橋梁工廠,NA,NA,NA
414,Hulan–Hailun Railway 呼海鐵路,13060,NA,NA
416,Nanjing–Wuhu Railway 江南鐵路公司,90,NA,NA
418,福州協測路,419,NA,NA
421,湘川公路,NA,NA,NA
434,德國北門機廠,121,NA,NA
439,上海馥亞電機公司,877,NA,NA
447,津浦鐵路濟韓,NA,NA,NA
463,東北無線電,NA,NA,NA
465,北京清河航空工廠,466,NA,NA
468,湖南第三汽車路局,67,NA,NA
472,湖南民生工廠,67,NA,NA
475,湖南高級工業職業學校,67,NA,NA
477,第四路軍總指揮部,NA,NA,NA
487,Westvaco Chlorine Products Co. (Westvaco Chlorine Co.),1387,NA,NA
489,Smith Agri. Chem. Products Co.,NA,NA,NA
492,上海天章造紙公司,877,NA,NA
494,南京軍醫署軍醫學校,90,NA,NA
503,Qingdao–Jinan Railway 膠濟鐵路,2331,NA,NA
510,瀋陽東北交通委員會,511,NA,NA
532,Hubei Construction Bureau 湖北建設廳,68,NA,NA
534,湖南省公路局,67,NA,NA
564,湖南第一紡織廠,67,NA,NA
574,粵漢鐵路機務,NA,NA,NA
576,廣州公用局,350,NA,NA
578,國民政府,NA,NA,NA
580,廣州第一製彈廠,350,NA,NA
588,上海拔拍葛鍋爐公司,877,NA,NA
606,成都四川鐵道學校,607,NA,NA
609,"成彭, 成康, 成簡各馬路局",607,NA,NA
611,四川省立工農兩學院,80,NA,NA
613,中央軍校成都分校,80,NA,NA
623,安徽水利工程處,60,NA,NA
629,直隸工業專校,NA,NA,NA
631,Jingxing Mining Bureau 井陘礦務局,632,NA,NA
634,正豐煤公司,632,NA,NA
636,宏福煤礦公司,NA,NA,NA
642,Military Affairs Commission 軍事委員會,90,NA,NA
663,京奉鐵路管理局唐山工程處,445,NA,NA
665,Chili River Commission 順直水利委員會,427,NA,NA
669,天津整理海河善後,427,NA,NA
687,Henan River Bureau 河南河務局,66,NA,NA
694,湖北大冶鐵鑛,NA,NA,NA
696,河北邢臺中學,NA,NA,NA
699,河北邢臺女子師範,68,NA,NA
701,河北鉅鹿建設局,63,NA,NA
703,河北簡易師範學校,63,NA,NA
716,Yellow River Commission 黃河水利委員會,717,NA,NA
731,足尾銅山,5574,NA,NA
734,小坂銅山,735,NA,NA
737,及九洲八幡製鐵所,738,NA,NA
740,山西學兵團,76,NA,NA
742,山西工業學校,743,NA,NA
745,陽泉保晉公司,746,NA,NA
748,壽陽保晉公司,749,NA,NA
757,國府救濟水災委員會,NA,NA,NA
761,全國經委會西北國營公路,NA,NA,NA
763,河北省建設廳,63,NA,NA
768,湖南沅江種移院,67,NA,NA
771,江西牯嶺工程局,70,NA,NA
778,Shandong Construction Bureau 山東建設廳,77,NA,NA
780,小清河工程委員會,NA,NA,NA
786,江蘇疏浚宜溧金丹,62,NA,NA
788,Zhejiang Water Conservancy 浙江水利局,999,NA,NA
790,江蘇疏浚陵口段運河工程事務所,51073,NA,NA
792,金溧路工程處,NA,NA,NA
830,沔縣寧漢公路,NA,NA,NA
832,Shaanxi Construction Bureau 陝西建設廳,2596,NA,NA
834,同官咸楡路,NA,NA,NA
847,第四路,NA,NA,NA
851,新寧鐵路,350,NA,NA
857,Taiyuan Munitions Factory 太原兵工廠,726,NA,NA
859,Shanxi Military Factory 山西軍人工藝實習廠,726,NA,NA
861,平津修械廠,NA,NA,NA
863,Northwest Industrial Company 太原西北實業公司,726,NA,NA
883,海軍魚雷槍礮學校,NA,NA,NA
885,閩廈警備司令部,886,NA,NA
888,福州無線電局,419,NA,NA
891,廈門無線電台,886,NA,NA
893,廈門海軍無線電台,886,NA,NA
895,廈門市公安局,886,NA,NA
915,"General, and Chevrolet Auto. Co.",NA,NA,NA
917,北平關稅,410,NA,NA
919,北平國府,410,NA,NA
921,寶隆公,NA,NA,NA
923,Harking Import Export Co 赫金公司,NA,NA,NA
925,Beijing Municipal Government 北平市政府,410,NA,NA
928,公共汽車管理處,NA,NA,NA
947,河北滹沱河灌溉,NA,NA,NA
970,中國酒精廠,NA,NA,NA
972,National Resources Commission 資源委員會,90,NA,NA
978,上海順昌鐵工廠,877,NA,NA
985,American Bridge Co.,1387,NA,NA
987,Northeastern University 東北大學,511,NA,NA
989,Wuhan University 武漢大學,356,NA,NA
991,北寧鐵路山海關工廠,NA,NA,NA
1007,武昌市政工程處,356,NA,NA
1019,滬寧滬甬鐵路,NA,NA,NA
1021,Guangxi Engineering Department 廣西建設廳,73,NA,NA
1023,平蒙公路總局,NA,NA,NA
1025,Jiangsu Construction Bureau 江蘇建設廳,71,NA,NA
1027,蚌埠市工務局,1028,NA,NA
1030,南京自來水工程處,90,NA,NA
1033,湖北省會工程處,356,NA,NA
1035,武昌市政處,1036,NA,NA
1044,Massachusetts Institute of Technology,144,NA,NA
1054,上海水泥廠,877,NA,NA
1058,Ministry of War 軍政部,90,NA,NA
1060,昆明泰山實業公司,556,NA,NA
1071,香港公和行,1072,NA,NA
1085,安徽水東鐵路局,60,NA,NA
1087,安徽烈山煤礦公司,60,NA,NA
1089,裕含煤礦,NA,NA,NA
1105,法國費府機車廠實習,NA,NA,NA
1108,北京工商部/北平工商部,410,NA,NA
1117,美國貝布利鋼鐵公司,NA,NA,NA
1119,漢陽鋼鐵廠,1120,NA,NA
1122,Shanghai Munitions Factory 上海兵工廠,877,NA,NA
1129,湖南南華女校教,67,NA,NA
1133,湖南機械廠,67,NA,NA
1135,Hunan Highway Bureau 湖南公路局,67,NA,NA
1141,Han Ye Ping Company 湖北漢冶萍公司,1120,NA,NA
1143,Anhui Construction Bureau 安徽建設廳,60,NA,NA
1145,山東礦,77,NA,NA
1147,省會電燈廠,NA,NA,NA
1150,福建德源礦業公司,NA,NA,NA
1152,廣西西灣煤場,NA,NA,NA
1155,湖南江華礦務局,NA,NA,NA
1157,廣東曲江富國煤礦公司,13364,NA,NA
1159,Yunnan University 雲南大學,81,NA,NA
1164,上海大昌建築公司,877,NA,NA
1176,濟南材料廠,1177,NA,NA
1179,浦口材料廠,71,NA,NA
1193,上海楊樹浦電廠,877,NA,NA
1196,上海南洋烟草公司,877,NA,NA
1198,上海羅森德洋行,877,NA,NA
1200,上海安利洋行,877,NA,NA
1202,大冶礦廠,382,NA,NA
1214,杭州閘口電廠,999,NA,NA
1223,江西第一職業學校,70,NA,NA
1238,天津無線電公司,427,NA,NA
1240,湖南建設廳專門,67,NA,NA
