job_id,person_id,employer_id,job_title,job_start,year_approx
283,282,284,Director,1931,Republican era
283,282,284,Commissioner,1931,Republican era
289,282,290,Foreign affairs secretary,1911,Republican era
291,282,292,Interpreter,1900,Republican era
293,282,294,Secretary,1904,Republican era
295,282,505,Vice director,1912,Republican era
297,282,298,Vice director,1913,Republican era
299,282,300,"Acting chairman, Commission for the unification of accounts",1912,Republican era
299,282,300,"Director, Department of railway finance and accounts",1912,Republican era
299,282,300,Controller general,1912,Republican era
301,282,302,Technical expert,1919,Republican era
303,282,304,"Representative, Inter-Allied Technical Board",1919,Republican era
303,282,304,Deputy director general,1919,Republican era
303,282,304,Associate Director-General,1919,Republican era
305,282,300,"Chief, Railway department",1921,Republican era
306,282,304,Director general,1922,Republican era
306,282,304,"Chairman, Inter-Allied Technical Board",1922,Republican era
307,282,300,Special adviser,1924,Republican era
307,282,300,"Chief, postal department",1924,Republican era
307,282,300,"Director general, postal services",1924,Republican era
307,282,300,"Delegate, Sino-British Boxer Indemnity Commission",1924,Republican era
307,282,300,"Director general, British Boxer Indemnity Advisory Committee",1924,Republican era
308,282,309,Director,1928,Republican era
310,282,311,Special adviser on railways,1949,Republican era
329,320,330,工程主任,NA,Republican era
372,368,373,工務員,1934,Republican era
375,368,376,工務員,1937,Republican era
378,320,379,實習,NA,Republican era
380,320,381,實習,NA,Republican era
383,320,384,實習,NA,Republican era
386,320,387,實習,1922,Republican era
389,320,390,整理委員兼廠長,NA,Republican era
393,320,394,員,NA,Republican era
395,320,396,主任,NA,Republican era
397,320,398,工程員,1934,Republican era
399,320,400,工務科長,1937,Republican era
406,401,407,實習,NA,Republican era
408,401,5202,教授,1923,Republican era
411,401,298,幫工程司,NA,Republican era
413,401,414,"工程司, 工務段長, 工務科長",1933,Republican era
415,401,416,"工程司, 段長",NA,Republican era
417,401,418,測量隊長,NA,Republican era
420,401,421,踏勘工程師,1935,Republican era
422,401,423,處工程師兼測量隊長,1936,Republican era
433,428,434,實習,1927,Republican era
436,428,4936,電機工程師兼電務處長,1933,Republican era
438,428,439,經理兼電器廠經理,1937,Republican era
446,441,57693,工務員,1937,Republican era
456,452,5599,測量隊班長,1937,Republican era
462,458,463,總台實習,1930,Republican era
464,458,465,技工,NA,Republican era
467,458,468,事務管理員及司機生訓練所教員,1929,Republican era
469,458,470,總台工程員,1930,Republican era
471,458,472,工務員兼代總務科長,1931,Republican era
474,458,475,電機科主任兼教員,NA,Republican era
476,458,477,無線電信訓練所教官,1937,Republican era
486,480,487,實習,1936,Republican era
488,480,489,實習,1936,Republican era
491,480,492,工程師,1932,Republican era
493,480,494,化學主任教官,1936,Republican era
500,495,298,實習,1916,Republican era
502,401,503,幫工程司,1927,Republican era
504,495,505,"實習, 試用工程司",NA,Republican era
506,495,2513,第二工段段長,1925,Republican era
508,495,505,副工程司,1929,Republican era
509,495,510,路政處第三科長,1932,Republican era
512,495,505,管段工程司,1934,Republican era
540,537,532,技術員,NA,Republican era
541,537,534,工程員,NA,Republican era
542,537,536,第四測量隊工程助理員,NA,Republican era
563,557,564,技士,1937,Republican era
573,570,574,處長,1924,Republican era
575,570,576,技士,1925,Republican era
577,570,578,參謀團祕書,1926,Republican era
579,570,580,主任,1927,Republican era
581,570,582,"主任, 機器廠主任",1929,Republican era
583,570,584,材料處長,1933,Republican era
585,570,5538,專員,1934,Republican era
587,570,588,工程師兼駐香港代表,1939,Republican era
605,600,606,主任,1914,Republican era
608,600,609,總工程師,1931,Republican era
610,600,611,教授,1934,Republican era
612,600,613,專任教員,1935,Republican era
622,617,623,處測量員,NA,Republican era
628,624,629,教員,NA,Republican era
630,624,631,"鑽師, 煤師",NA,Republican era
633,624,634,測繪師兼考工主任,1928,Republican era
635,624,636,礦師,1937,Republican era
641,637,642,總顧問祕書,1937,Republican era
662,658,663,實習,1918,Republican era
664,658,665,副技師,1923,Republican era
666,658,9096,"工務總段長, 工程課長",1931,Republican era
668,658,669,工程處副工程師,1937,Republican era
677,672,678,橋工處幫工程師,1937,Republican era
686,683,687,測量員,NA,Republican era
688,51391,687,技術員,NA,Republican era
693,689,694,實習,1915,Republican era
695,689,696,教員,NA,Republican era
697,689,381,採礦處主任,1920,Republican era
698,689,699,教員,1926,Republican era
700,689,701,局長,1930,Republican era
702,689,703,校長,1936,Republican era
713,710,8821,服務,NA,Republican era
715,710,716,設計組副工程師,1937,Republican era
730,722,731,實習,NA,Republican era
733,722,734,實習,NA,Republican era
736,722,737,實習,NA,Republican era
739,722,740,專門化學部主任教員,NA,Republican era
741,722,742,冶金教員,NA,Republican era
744,722,745,第四礦廠坑務課長兼廠長,1932,Republican era
747,722,748,經理,1937,Republican era
753,750,12219,實習,1932,Republican era
756,750,757,第十三區工賑局技術員,1933,Republican era
758,750,759,工程局工程助理員,1936,Republican era
760,750,761,管理局副工程師兼段長,1937,Republican era
762,750,763,技士,NA,Republican era
767,764,768,測量隊長,NA,Republican era
770,764,771,工程師,NA,Republican era
