person_id,societies,societies_number,societies_date,societies_status
282,Association of Chinese and American Engineers,NA,Republican era,NA
282,Chinese Institute of Engineers 中華工程師學會,NA,Republican era,NA
320,NA,NA,Republican era,NA
322,NA,NA,Republican era,NA
336,NA,NA,Republican era,NA
340,NA,NA,Republican era,NA
368,NA,NA,Republican era,NA
401,NA,NA,Republican era,NA
424,NA,NA,Republican era,NA
428,NA,NA,Republican era,NA
441,NA,NA,Republican era,NA
448,NA,NA,Republican era,NA
452,NA,NA,Republican era,NA
458,NA,NA,Republican era,NA
478,NA,NA,Republican era,NA
480,NA,NA,Republican era,NA
495,NA,NA,Republican era,NA
513,NA,NA,Republican era,NA
517,NA,NA,Republican era,NA
523,NA,NA,Republican era,NA
537,NA,NA,Republican era,NA
543,NA,NA,Republican era,NA
546,NA,NA,Republican era,NA
552,NA,NA,Republican era,NA
557,NA,NA,Republican era,NA
565,NA,NA,Republican era,NA
568,NA,NA,Republican era,NA
570,NA,NA,Republican era,NA
589,NA,NA,Republican era,NA
593,NA,NA,Republican era,NA
596,NA,NA,Republican era,NA
600,NA,NA,Republican era,NA
614,NA,NA,Republican era,NA
617,NA,NA,Republican era,NA
624,NA,NA,Republican era,NA
637,NA,NA,Republican era,NA
643,NA,NA,Republican era,NA
651,NA,NA,Republican era,NA
655,NA,NA,Republican era,NA
658,NA,NA,Republican era,NA
672,NA,NA,Republican era,NA
679,NA,NA,Republican era,NA
683,NA,NA,Republican era,NA
689,NA,NA,Republican era,NA
705,NA,NA,Republican era,NA
710,NA,NA,Republican era,NA
718,NA,NA,Republican era,NA
722,NA,NA,Republican era,NA
750,NA,NA,Republican era,NA
764,NA,NA,Republican era,NA
774,NA,NA,Republican era,NA
781,NA,NA,Republican era,NA
794,NA,NA,Republican era,NA
798,NA,NA,Republican era,NA
801,NA,NA,Republican era,NA
805,NA,NA,Republican era,NA
812,Chinese Institute of Mining and Metallurgy 中國礦冶工程學會,NA,Republican era,NA
817,NA,NA,Republican era,NA
822,Association of Chinese and American Engineers,NA,Republican era,NA
826,NA,NA,Republican era,NA
835,NA,NA,Republican era,NA
838,NA,NA,Republican era,NA
840,NA,NA,Republican era,NA
843,Chinese Institute of Electrical Engineers 中國電機工程師學會,NA,Republican era,NA
848,NA,NA,Republican era,NA
852,NA,NA,Republican era,NA
865,NA,NA,Republican era,NA
868,NA,NA,Republican era,NA
870,NA,NA,Republican era,NA
874,NA,NA,Republican era,NA
878,NA,NA,Republican era,NA
899,NA,NA,Republican era,NA
902,NA,NA,Republican era,NA
905,NA,NA,Republican era,NA
908,NA,NA,Republican era,NA
930,NA,NA,Republican era,NA
931,NA,NA,Republican era,NA
934,NA,NA,Republican era,NA
941,China Hydraulic Engineering Society 中國水利工程學會,NA,Republican era,NA
949,NA,NA,Republican era,NA
952,NA,NA,Republican era,NA
955,NA,NA,Republican era,NA
958,NA,NA,Republican era,NA
961,NA,NA,Republican era,NA
964,NA,NA,Republican era,NA
973,NA,NA,Republican era,NA
979,NA,NA,Republican era,NA
992,NA,NA,Republican era,NA
995,NA,NA,Republican era,NA
1003,NA,NA,Republican era,NA
1010,NA,NA,Republican era,NA
1015,Zhongguo gongchengshi xuehui Wuhan fenhui 中國工程師學會武漢分會,NA,Republican era,NA
1039,NA,NA,Republican era,NA
1041,NA,NA,Republican era,NA
1047,NA,NA,Republican era,NA
1055,NA,NA,Republican era,NA
1062,NA,NA,Republican era,NA
1066,NA,NA,Republican era,NA
1068,NA,NA,Republican era,NA
1073,NA,NA,Republican era,NA
1075,NA,NA,Republican era,NA
1078,NA,NA,Republican era,NA
1082,Chinese Institute of Mining and Metallurgy 中國礦冶工程學會,NA,Republican era,NA
1090,NA,NA,Republican era,NA
1094,NA,NA,Republican era,NA
1098,NA,NA,Republican era,NA
1112,NA,NA,Republican era,NA
1125,NA,NA,Republican era,NA
1136,Chinese Institute of Mining and Metallurgy 中國礦冶工程學會,NA,Republican era,NA
1160,NA,NA,Republican era,NA
1165,NA,NA,Republican era,NA
1180,Chinese Institute of Engineers 中華工程師學會,NA,Republican era,NA
1188,Zhongguo gongchengshi xuehui Wuhan fenhui 中國工程師學會武漢分會,NA,Republican era,NA
1204,Chinese Institute of Electrical Engineers 中國電機工程師學會,NA,Republican era,NA
1209,NA,NA,Republican era,NA
1215,NA,NA,Republican era,NA
1217,NA,NA,Republican era,NA
1219,NA,NA,Republican era,NA
1224,China Colourists’ Association 中國染化工程學會,NA,Republican era,NA
