person_id,sources
282,Biographical Dictionary of Republican China (1967)
282,Who's Who of American Returned Students (1917)
282,Zhonghua gongchengshi xuehui huiyuanlu (1924)
282,Who's Who in China (1936)
320,Gongchengren minglu (1941)
322,Gongchengren minglu (1941)
336,Gongchengren minglu (1941)
340,Gongchengren minglu (1941)
368,Gongchengren minglu (1941)
401,Gongchengren minglu (1941)
401,Jiaotong (1922)
424,Gongchengren minglu (1941)
428,Gongchengren minglu (1941)
441,Gongchengren minglu (1941)
448,Gongchengren minglu (1941)
452,Gongchengren minglu (1941)
458,Gongchengren minglu (1941)
478,Gongchengren minglu (1941)
480,Gongchengren minglu (1941)
495,Gongchengren minglu (1941)
513,Gongchengren minglu (1941)
517,Gongchengren minglu (1941)
523,Gongchengren minglu (1941)
537,Gongchengren minglu (1941)
543,Gongchengren minglu (1941)
546,Gongchengren minglu (1941)
552,Gongchengren minglu (1941)
557,Gongchengren minglu (1941)
565,Gongchengren minglu (1941)
568,Gongchengren minglu (1941)
570,Gongchengren minglu (1941)
570,Jiaotong (1922)
589,Gongchengren minglu (1941)
593,Gongchengren minglu (1941)
596,Gongchengren minglu (1941)
600,Gongchengren minglu (1941)
614,Gongchengren minglu (1941)
617,Gongchengren minglu (1941)
624,Gongchengren minglu (1941)
637,Gongchengren minglu (1941)
643,Gongchengren minglu (1941)
651,Gongchengren minglu (1941)
655,Gongchengren minglu (1941)
658,Gongchengren minglu (1941)
672,Gongchengren minglu (1941)
679,Gongchengren minglu (1941)
683,Gongchengren minglu (1941)
689,Gongchengren minglu (1941)
705,Gongchengren minglu (1941)
710,Gongchengren minglu (1941)
718,Gongchengren minglu (1941)
722,Gongchengren minglu (1941)
750,Gongchengren minglu (1941)
764,Gongchengren minglu (1941)
774,Gongchengren minglu (1941)
781,Gongchengren minglu (1941)
794,Gongchengren minglu (1941)
798,Gongchengren minglu (1941)
801,Gongchengren minglu (1941)
805,Gongchengren minglu (1941)
812,Gongchengren minglu (1941)
812,Kuangye gongcheng xuehui huiyuan lu (1943)
817,Gongchengren minglu (1941)
822,Gongchengren minglu (1941)
822,Journal of the ACAE (1938)
826,Gongchengren minglu (1941)
835,Gongchengren minglu (1941)
838,Gongchengren minglu (1941)
840,Gongchengren minglu (1941)
843,Gongchengren minglu (1941)
843,Diangong (1947)
848,Gongchengren minglu (1941)
852,Gongchengren minglu (1941)
865,Gongchengren minglu (1941)
868,Gongchengren minglu (1941)
870,Gongchengren minglu (1941)
874,Gongchengren minglu (1941)
878,Gongchengren minglu (1941)
899,Gongchengren minglu (1941)
902,Gongchengren minglu (1941)
905,Gongchengren minglu (1941)
908,Gongchengren minglu (1941)
930,Gongchengren minglu (1941)
931,Gongchengren minglu (1941)
934,Gongchengren minglu (1941)
941,Gongchengren minglu (1941)
941,Shuili (1933)
949,Gongchengren minglu (1941)
952,Gongchengren minglu (1941)
955,Gongchengren minglu (1941)
958,Gongchengren minglu (1941)
961,Gongchengren minglu (1941)
964,Gongchengren minglu (1941)
973,Gongchengren minglu (1941)
979,Gongchengren minglu (1941)
992,Gongchengren minglu (1941)
995,Gongchengren minglu (1941)
1003,Gongchengren minglu (1941)
1010,Gongchengren minglu (1941)
1015,Gongchengren minglu (1941)
1015,Zhongguo gongchengshi xuehui Wuhan fenhui (1933)
1039,Gongchengren minglu (1941)
1039,Chinese Students Directory (1931)
1041,Gongchengren minglu (1941)
1047,Gongchengren minglu (1941)
1055,Gongchengren minglu (1941)
1062,Gongchengren minglu (1941)
1066,Gongchengren minglu (1941)
1068,Gongchengren minglu (1941)
1073,Gongchengren minglu (1941)
1075,Gongchengren minglu (1941)
1078,Gongchengren minglu (1941)
1082,Gongchengren minglu (1941)
1082,Kuangye gongcheng xuehui huiyuan lu (1943)
1090,Gongchengren minglu (1941)
1094,Gongchengren minglu (1941)
1098,Gongchengren minglu (1941)
1112,Gongchengren minglu (1941)
1125,Gongchengren minglu (1941)
1136,Gongchengren minglu (1941)
1136,Kuangye gongcheng xuehui huiyuan lu (1943)
1136,Chinese Students Directory (1931)
1160,Gongchengren minglu (1941)
1165,Gongchengren minglu (1941)
1180,Gongchengren minglu (1941)
1180,Zhonghua gongchengshi xuehui huiyuanlu (1924)
1180,Chinese Students Directory (1931)
1188,Gongchengren minglu (1941)
1188,Zhongguo gongchengshi xuehui Wuhan fenhui (1933)
1204,Gongchengren minglu (1941)
1204,Diangong (1947)
1209,Gongchengren minglu (1941)
1215,Gongchengren minglu (1941)
1217,Gongchengren minglu (1941)
1219,Gongchengren minglu (1941)
1224,Gongchengren minglu (1941)
1224,Zhongguo ranhua jinian kan (1940)
1226,Gongchengren minglu (1941)
1229,Gongchengren minglu (1941)
1245,Gongchengren minglu (1941)
1250,Gongchengren minglu (1941)
1254,Gongchengren minglu (1941)
1258,Gongchengren minglu (1941)
1263,Gongchengren minglu (1941)
1267,Gongchengren minglu (1941)
1271,Gongchengren minglu (1941)
1285,Gongchengren minglu (1941)
1287,Gongchengren minglu (1941)
1289,Gongchengren minglu (1941)
1298,Gongchengren minglu (1941)
1302,Gongchengren minglu (1941)
1304,Gongchengren minglu (1941)
1308,Gongchengren minglu (1941)
1323,Gongchengren minglu (1941)
1327,Gongchengren minglu (1941)
1329,Gongchengren minglu (1941)
1331,Gongchengren minglu (1941)
1334,Gongchengren minglu (1941)
1351,Gongchengren minglu (1941)
1351,Tumu gongcheng (1935)
1355,Gongchengren minglu (1941)
1355,Qinghua daxue tumu gongcheng xuehui huikan (1949)
