field,person_id,college_id,graduation_year,degree,degree_id
Hydraulic Engineering,36734,NA,NA,NA,88617813
Mechanical Engineering 機械,29103,NA,NA,NA,88617753
Chemistry,36728,NA,NA,NA,88617811
Mining and Metallurgy,24081,NA,NA,NA,88617721
Mechanical Engineering 機械,36814,NA,NA,NA,88617816
Electrical Engineering 電機,30091,NA,NA,NA,88617759
Hydraulic Engineering,11228,NA,NA,NA,88617616
Mining and Metallurgy,54188,NA,NA,NA,88618000
Mining and Metallurgy,36358,NA,NA,NA,88617806
Mining and Metallurgy,37252,NA,NA,NA,88617819
Mining and Metallurgy,45680,NA,NA,NA,88617914
Aviation,56931,NA,NA,NA,88618024
Hydraulic Engineering,35253,NA,NA,NA,88617797
Communications,36889,NA,NA,NA,88617817
Mechanical Engineering 機械,10439,NA,NA,NA,88617607
Hydraulic Engineering,9861,NA,NA,NA,88629262
Hydraulic Engineering,69221,NA,NA,NA,88618145
Aviation,40416,NA,NA,NA,88617856
Hydraulic Engineering,59504,NA,NA,NA,88618040
Mechanical Engineering 機械,72709,NA,NA,NA,88618165
Mining and Metallurgy,61295,NA,NA,NA,88618058
Aviation,65352,NA,NA,NA,88618102
Chemistry,17649,NA,NA,NA,88617666
Mining and Metallurgy,16534,NA,NA,NA,88617657
Chemistry,44210,NA,NA,NA,88617901
Hydraulic Engineering,65651,NA,NA,NA,88618105
Aviation,65686,NA,NA,NA,88618106
Electrical Engineering 電機,49018,NA,NA,NA,88617948
Mechanical Engineering 機械,1188,NA,NA,NA,88617627
Civil Engineering 土木,42667,NA,NA,NA,88617885
Mechanical Engineering 機械,55646,NA,NA,NA,88618012
Aviation,52659,NA,NA,NA,88617981
Chemistry,24275,NA,NA,NA,88617724
Architecture 建築,74511,NA,NA,NA,88618166
Mining and Metallurgy,31203,NA,NA,NA,88617767
Hydraulic Engineering,63516,NA,NA,NA,88618081
Mechanical Engineering 機械,66339,NA,NA,NA,88618116
Electrical Engineering 電機,69613,NA,NA,NA,88618148
Mechanical Engineering 機械,17934,NA,NA,NA,88617670
Mechanical Engineering 機械,15717,NA,NA,NA,88617650
Mining and Metallurgy,15873,NA,NA,NA,88617652
Hydraulic Engineering,7622,NA,NA,NA,88618168
Mining and Metallurgy,45306,NA,NA,NA,88617910
Aviation,68947,NA,NA,NA,88618141
Electrical Engineering 電機,37369,NA,NA,NA,88617823
Mining and Metallurgy,6240,NA,NA,NA,88618066
Aviation,6258,NA,NA,NA,88618069
Mechanical Engineering 機械,6258,NA,NA,NA,88618070
Chemistry,43374,NA,NA,NA,88617895
Electrical Engineering 電機,54697,NA,NA,NA,88618004
Electrical Engineering 電機,15825,NA,NA,NA,88617651
Electrical Engineering 電機,42004,NA,NA,NA,88617874
Communications,41537,NA,NA,NA,88617867
Mechanical Engineering 機械,3810,NA,NA,NA,88617829
Hydraulic Engineering,30992,NA,NA,NA,88617763
Electrical Engineering 電機,69459,NA,NA,NA,88618147
Mechanical Engineering 機械,65250,NA,NA,NA,88618100
Mechanical Engineering 機械,20140,NA,NA,NA,88617689
Mechanical Engineering 機械,63974,NA,NA,NA,88618086
Hydraulic Engineering,53422,NA,NA,NA,88617989
Aviation,32266,NA,NA,NA,88617771
Aviation,10709,NA,NA,NA,88617610
Mining and Metallurgy,35012,NA,NA,NA,88617794
Mining and Metallurgy,34652,NA,NA,NA,88617789
Mechanical Engineering 機械,60637,NA,NA,NA,88618051
Mining and Metallurgy,14119,NA,NA,NA,88617638
Mining and Metallurgy,21327,NA,NA,NA,88617699
Mining and Metallurgy,26841,NA,NA,NA,88617738
Mining and Metallurgy,33418,NA,NA,NA,88617780
Hydraulic Engineering,36495,NA,NA,NA,88617810
Mining and Metallurgy,16359,NA,NA,NA,88617656
Mining and Metallurgy,16581,NA,NA,NA,88617658
Electrical Engineering 電機,37260,NA,NA,NA,88617821
Military Engineering,33907,NA,NA,NA,88617785
Mechanical Engineering 機械,36301,NA,NA,NA,88617804
Textile Engineering 紡織,37252,NA,NA,NA,88617820
Civil Engineering 土木,69748,NA,NA,NA,88618149
Chemistry,6464,NA,NA,NA,88618093
Civil Engineering 土木,8951,NA,NA,NA,88629254
Hydraulic Engineering,35174,NA,NA,NA,88617796
Naval Engineering,31844,NA,NA,NA,88617769
Mining and Metallurgy,68457,NA,NA,NA,88618138
Mechanical Engineering 機械,65023,NA,NA,NA,88618098
Architecture 建築,68150,NA,NA,NA,88618136
Hydraulic Engineering,71074,NA,NA,NA,88618153
Chemical Engineering 化工,42667,NA,NA,NA,88617884
Chemistry,55714,NA,NA,NA,88618016
Mining and Metallurgy,55705,NA,NA,NA,88618013
Hydraulic Engineering,24787,NA,NA,NA,88617728
Electrical Engineering 電機,61591,NA,NA,NA,88618062
Aviation,22392,NA,NA,NA,88617707
Mechanical Engineering 機械,22392,NA,NA,NA,88617708
Communications,22326,NA,NA,NA,88617706
Mining and Metallurgy,17498,NA,NA,NA,88617664
Civil Engineering 土木,77203,NA,NA,NA,88618171
Ceramics,63428,NA,NA,NA,88618080
Chemical Engineering 化工,62619,NA,NA,NA,88618071
Mining and Metallurgy,60825,NA,NA,NA,88618053
Civil Engineering 土木,48954,NA,NA,NA,88617946
Mechanical Engineering 機械,38461,NA,NA,NA,88617834
Mining and Metallurgy,53816,NA,NA,NA,88617992
Mining and Metallurgy,40102,NA,NA,NA,88617850
Mining and Metallurgy,41251,NA,NA,NA,88617863
Mining and Metallurgy,41677,NA,NA,NA,88617868
Mining and Metallurgy,47348,NA,NA,NA,88617924
Mining and Metallurgy,18326,NA,NA,NA,88617673
Hydraulic Engineering,49359,NA,NA,NA,88617950
Mining and Metallurgy,67851,NA,NA,NA,88618134
Naval Engineering,61912,NA,NA,NA,88618064
Mining and Metallurgy,77558,NA,NA,NA,88618173
Mining and Metallurgy,14612,NA,NA,NA,88617642
Mining and Metallurgy,13314,NA,NA,NA,88617634
Chemistry,8888,NA,NA,NA,88629251
Chemistry,8895,NA,NA,NA,88629252
Mining and Metallurgy,10705,NA,NA,NA,88617609
Military Engineering,46299,NA,NA,NA,88617917
Mechanical Engineering 機械,33002,NA,NA,NA,88617775
Aviation,15046,NA,NA,NA,88617646
Hydraulic Engineering,7870,NA,NA,NA,88618175
Mining and Metallurgy,44511,NA,NA,NA,88617904
Textile Engineering 紡織,56931,NA,NA,NA,88618026
Chemical Engineering 化工,71796,NA,NA,NA,88618159
Naval Engineering,40416,NA,NA,NA,88617857
Aviation,59453,NA,NA,NA,88618037
Aviation,51981,NA,NA,NA,88617976
Chemistry,42675,NA,NA,NA,88617887
Mining and Metallurgy,63019,NA,NA,NA,88618076
Mining and Metallurgy,42825,NA,NA,NA,88617888
Hydraulic Engineering,33713,NA,NA,NA,88617783
Hydraulic Engineering,64154,NA,NA,NA,88618089
Chemistry,48205,NA,NA,NA,88617937
Aviation,4923,NA,NA,NA,88617949
Mining and Metallurgy,17297,NA,NA,NA,88617661
Mechanical Engineering 機械,62431,NA,NA,NA,88618068
Chemical Engineering 化工,69130,NA,NA,NA,88618142
Mechanical Engineering 機械,41939,NA,NA,NA,88617872
Mechanical Engineering 機械,67222,NA,NA,NA,88618129
Mining and Metallurgy,88603346,NA,NA,NA,88621305
Chemical Engineering 化工,88600430,NA,NA,NA,88618563
Civil Engineering 土木,88603281,NA,NA,NA,88621247
Chemical Engineering 化工,88603275,NA,NA,NA,88621241
Civil Engineering 土木,88603276,NA,NA,NA,88621242
Civil Engineering 土木,88610889,NA,NA,NA,88628324
Mechanical Engineering 機械,88600039,NA,NA,NA,88618198
Aviation,88602873,NA,NA,NA,88620856
Mechanical Engineering 機械,88601188,NA,NA,NA,88619256
Chemistry,88604770,NA,NA,NA,88622621
Chemical Engineering 化工,88602482,NA,NA,NA,88620480
Mechanical Engineering 機械,88603598,NA,NA,NA,88621539
Mechanical Engineering 機械,88602312,NA,NA,NA,88620322
Chemical Engineering 化工,88603006,NA,NA,NA,88620981
Architecture 建築,88604889,NA,NA,NA,88622730
Electrical Engineering 電機,88603599,NA,NA,NA,88621540
Chemical Engineering 化工,88604887,NA,NA,NA,88622727
Mechanical Engineering 機械,88611153,NA,NA,NA,88628590
Civil Engineering 土木,88600363,NA,NA,NA,88618500
Civil Engineering 土木,88604888,NA,NA,NA,88622729
Civil Engineering 土木,88611152,NA,NA,NA,88628589
Chemistry,88602463,NA,NA,NA,88620462
Chemistry,88601427,NA,NA,NA,88619491
Civil Engineering 土木,88611139,NA,NA,NA,88628576
Civil Engineering 土木,88611144,NA,NA,NA,88628581
Civil Engineering 土木,88603597,NA,NA,NA,88621538
Civil Engineering 土木,88602311,NA,NA,NA,88620321
Civil Engineering 土木,88611147,NA,NA,NA,88628584
Civil Engineering 土木,88601429,NA,NA,NA,88619493
Naval Engineering,88605392,NA,NA,NA,88623204
Mechanical Engineering 機械,88600583,NA,NA,NA,88618701
Civil Engineering 土木,88603286,NA,NA,NA,88621252
Civil Engineering 土木,88604378,NA,NA,NA,88622274
Mining and Metallurgy,88604987,NA,NA,NA,88622822
Mining and Metallurgy,88604958,NA,NA,NA,88622793
Chemistry,88604957,NA,NA,NA,88622792
Electrical Engineering 電機,88610846,NA,NA,NA,88628283
Civil Engineering 土木,88602363,NA,NA,NA,88620372
Electrical Engineering 電機,88603801,NA,NA,NA,88621736
Mechanical Engineering 機械,88608062,NA,NA,NA,88625710
Hydraulic Engineering,88608085,NA,NA,NA,88625733
Chemical Engineering 化工,88600795,NA,NA,NA,88618897
Civil Engineering 土木,88600794,NA,NA,NA,88618896
Mechanical Engineering 機械,88604588,NA,NA,NA,88622458
Mechanical Engineering 機械,88611378,NA,NA,NA,88628800
Mechanical Engineering 機械,88605269,NA,NA,NA,88623095
Hydraulic Engineering,88604580,NA,NA,NA,88622451
Civil Engineering 土木,88602379,NA,NA,NA,88620388
Mechanical Engineering 機械,88611383,NA,NA,NA,88628805
Civil Engineering 土木,88600812,NA,NA,NA,88618912
Mechanical Engineering 機械,88611352,NA,NA,NA,88628778
Chemical Engineering 化工,88602772,NA,NA,NA,88620760
Chemical Engineering 化工,88608167,NA,NA,NA,88625805
Mechanical Engineering 機械,88603093,NA,NA,NA,88621063
Electrical Engineering 電機,88605322,NA,NA,NA,88623143
Electrical Engineering 電機,88605163,NA,NA,NA,88622994
Hydraulic Engineering,88605164,NA,NA,NA,88622996
Civil Engineering 土木,88604962,NA,NA,NA,88622796
Chemical Engineering 化工,88600800,NA,NA,NA,88618901
Mechanical Engineering 機械,88604688,NA,NA,NA,88622552
Civil Engineering 土木,88602776,NA,NA,NA,88620765
Hydraulic Engineering,88603099,NA,NA,NA,88621069
Chemical Engineering 化工,88601674,NA,NA,NA,88619725
Chemical Engineering 化工,88603835,NA,NA,NA,88621767
Chemical Engineering 化工,88603818,NA,NA,NA,88621751
Textile Engineering 紡織,88603098,NA,NA,NA,88621068
Chemistry,88603816,NA,NA,NA,88621749
Chemistry,88603107,NA,NA,NA,88621077
Mechanical Engineering 機械,88600222,NA,NA,NA,88618368
Civil Engineering 土木,88611373,NA,NA,NA,88628796
Civil Engineering 土木,88605157,NA,NA,NA,88622988
Mining and Metallurgy,88602779,NA,NA,NA,88620768
Civil Engineering 土木,88611380,NA,NA,NA,88628802
Electrical Engineering 電機,88600031,NA,NA,NA,88618191
Chemical Engineering 化工,88604983,NA,NA,NA,88622819
Civil Engineering 土木,88602590,NA,NA,NA,88620589
Chemical Engineering 化工,88603841,NA,NA,NA,88621773
Mechanical Engineering 機械,88602589,NA,NA,NA,88620588
Electrical Engineering 電機,88600818,NA,NA,NA,88618917
Civil Engineering 土木,88608116,NA,NA,NA,88625758
Civil Engineering 土木,88602362,NA,NA,NA,88620371
Civil Engineering 土木,88602579,NA,NA,NA,88620577
Civil Engineering 土木,88605267,NA,NA,NA,88623094
Electrical Engineering 電機,88608227,NA,NA,NA,88625859
Civil Engineering 土木,88604967,NA,NA,NA,88622803
Civil Engineering 土木,88604587,NA,NA,NA,88622457
Mechanical Engineering 機械,88600209,NA,NA,NA,88618356
Civil Engineering 土木,88604589,NA,NA,NA,88622459
Chemical Engineering 化工,88602773,NA,NA,NA,88620762
Civil Engineering 土木,88604382,NA,NA,NA,88622277
Mechanical Engineering 機械,88603104,NA,NA,NA,88621074
Chemical Engineering 化工,88602376,NA,NA,NA,88620385
Civil Engineering 土木,88603806,NA,NA,NA,88621741
