employer_name,parent_name,employer_id,parent_id,location_id
Air Force Aeronautical Industry Bureau 空軍航空工業局,NA,88612018,NA,88600003
Changhua Xizhou Taiwan Sugar Company 彰化溪州臺灣糖業公司,NA,88612019,NA,88600001
Chiayi China Petroleum Corporation 嘉義中國石油公司,NA,88612020,NA,88600004
China Broadcasting Corporation 中國廣播公司,NA,88612021,NA,88600014
China Petroleum Corporation 中國石油公司,NA,88612022,NA,88600014
Government Bureau of Public Works 政府工務局,NA,88612023,NA,88600003
Hsinchu Taiwan Fertilizer Company 新竹臺灣肥料公司,NA,88612024,NA,88600006
Hualien Taiwan Power Company 花蓮臺灣電力公司,NA,88612025,NA,88600009
Joint Logistics Command 聯勤總部,NA,88612026,NA,88600014
Kaohsiung Harbor Bureau 高雄港務局,NA,88612027,NA,88600010
Keelung Harbor Bureau 基隆港務局,NA,88612028,NA,88600011
Keelung Jinguangshi Gold and Copper Mining Bureau 基隆金瓜石金銅鑛務局,NA,88612029,NA,88600011
Miaoli China Petroleum Corporation 苗栗中國石油公司,NA,88612030,NA,88600007
Ministry of Economic Affairs 經濟部,NA,88612031,NA,88600014
Ministry of Transportation 交通部,NA,88612032,NA,88600014
National Cheng Kung University 臺灣省立成功大學,NA,88612033,NA,88600013
National Taiwan University 國立臺灣大學,NA,88612034,NA,88600014
Pingtung Taiwan Sugar Company 屏東臺灣糖業公司,NA,88612035,NA,88600012
Tainan Anshun Taiwan Alkali Corporation 臺南安順臺灣鹼業公司,NA,88612036,NA,88600013
Tainan Madou Taiwan Sugar Company 臺南麻豆臺灣糖業公司,NA,88612037,NA,88600013
Tainan Xinyi Taiwan Sugar Company 臺南新營臺灣糖業公司,NA,88612038,NA,88600013
Taipei Ruifang Taiwan Metal Mining Company 臺北瑞芳臺灣金屬鑛業公司,NA,88612039,NA,88600014
Taipei Songshan Joint Logistics Command Headquarters 臺北鬆山聯勤總部,NA,88612040,NA,88600014
Taiwan Alkali Corporation 臺灣鹼業公司,NA,88612041,NA,88600010
Taiwan Aluminum Corporation 臺灣鋁業公司,NA,88612042,NA,88600010
Taiwan Cement Corporation 臺灣水泥公司,NA,88612043,NA,88600014
Taiwan Fertilizer Company 臺灣肥料公司,NA,88612044,NA,88600010
Taiwan Machinery Company 臺灣機械公司,NA,88612045,NA,88600013
Taiwan Mining Corporation 臺灣工礦公司,NA,88612046,NA,88600014
Taiwan Power Company 臺灣電力公司,NA,88612047,NA,88600014
Taiwan Provincial Industrial Research Institute 臺灣省工業試驗所,NA,88612048,NA,88600014
Taiwan Provincial Tobacco and Wine Monopoly Bureau 臺灣省菸酒公賣局,NA,88612049,NA,88600012
Taiwan Provincial Water Resources Bureau 臺灣省水利局,NA,88612050,NA,88600014
Taiwan Railway Administration Bureau 臺灣鐵路管理局,NA,88612051,NA,88600014
Taiwan Shipbuilding Corporation 臺灣造船公司,NA,88612052,NA,88600011
Taiwan Sugar Corporation 臺灣糖業公司,NA,88612053,NA,88600013
Yilan Suao Taiwan Cement Corporation 宜蘭蘇澳臺灣水泥公司,NA,88612054,NA,88600016
Yunlin Hutou Taiwan Sugar Company 雲林虎尾臺灣糖業公司,NA,88612055,NA,88600005
三塊厝高雄合板公司,NA,88612056,NA,88600010
三民區日昌公司,NA,88612057,NA,88600010
下橋仔頭臺灣火柴公司,NA,88612058,NA,88600003
下橋子頭天源公司,NA,88612059,NA,88600003
世界書局,NA,88612060,NA,NA
中原埋工學院,NA,88612061,NA,NA
中原理工學院,NA,88612062,NA,88600010
中和鄕中興電機工廠,NA,88612063,NA,88600014
中國力覇鋼架公司,NA,88612064,NA,88600014
中國右油公司,NA,88612065,NA,88600010
中國生產力中心,NA,88612067,NA,88600014
中國磷業公司,NA,88612069,NA,88600010
中國諼播公司,NA,88612070,NA,88600003
中國銅敲公司,NA,88612071,NA,NA
中央信託局,NA,88612072,NA,88600014
中央通訊社電務部,NA,88612073,NA,88600014
中央銀行,NA,88612074,NA,88600014
中德貿易公司,NA,88612075,NA,88600014
中本紡織公司,NA,88612076,NA,88600014
中油公司,NA,88612077,NA,88600014
中瀝電信硏究所,NA,88612078,NA,NA
中煤開發公司,NA,88612079,NA,88600014
中窗石油公司,NA,88612080,NA,88600014
中聯化工廠,NA,88612081,NA,88600010
中興大學,NA,88612082,NA,88600003
中華工程公司,NA,88612083,NA,88600010
中華航空公司,NA,88612084,NA,88600014
中華貿易開發公司,NA,88612085,NA,NA
中華造漆公司,NA,88612086,NA,88600014
中華顧問公司,NA,88612087,NA,88600014
中農銀行,NA,88612088,NA,88600010
久大紙業公司,NA,88612089,NA,88600014
之一新中國打撈公司,NA,88612090,NA,88600014
乾臺灣糖業公司,NA,88612091,NA,NA
亞洲航空公司,NA,88612094,NA,88600013
交大電子研究所,NA,88612095,NA,NA
交通大學,NA,88612096,NA,88600006
交通銀行,NA,88612107,NA,88600014
亮南縣善化鎮部,NA,88612108,NA,NA
人造雨研究所,NA,88612109,NA,88600014
儂工礦器材公司,NA,88612110,NA,NA
內政部,NA,88612111,NA,88600014
八內八氏貝慟懷中止埋工學院,NA,88612112,NA,NA
八堵區臺灣工礦公司,NA,88612113,NA,88600011
公共工程局,NA,88612116,NA,NA
公賣局,NA,88612117,NA,88600004
公質局,NA,88612118,NA,88600012
六一一聽臺北瓦斯公司,NA,88612119,NA,88600014
冰上部,NA,88612122,NA,NA
凝灣鐵路局,NA,88612123,NA,NA
凰梨分公司,NA,88612124,NA,NA
刃陽人陝貝闞林中正理工學院,NA,88612125,NA,NA
前鎮區臺鹼公司,NA,88612126,NA,88600010
前鎮臺灣鹼業公司,NA,88612127,NA,88600010
副產感臺北擊霸您政一書聽真燔公司,NA,88612128,NA,NA
力行建築師事務所,NA,88612129,NA,88600014
加拿大溫古華大學,NA,88612130,NA,NA
北廻鐵路隧道第二施工所,NA,88612131,NA,NA
北投區北投郵局,NA,88612132,NA,88600014
北投區石牌榮民總醫院,NA,88612133,NA,88600014
北投空灣工礦公司,NA,88612134,NA,88600015
