person_id,employer_id,job_start,job_title,year_approx,job_id
33418,88612586,NA,NA,c. 1947,88613314
11137,88612218,NA,NA,c. 1947,88613161
1846,88613135,NA,NA,c. 1947,88613220
16633,88612695,NA,NA,c. 1947,88613206
9715,88612696,NA,NA,c. 1947,88617594
9698,88612684,NA,NA,c. 1947,88617593
71947,88612692,NA,NA,c. 1947,88613660
46387,88612047,NA,NA,c. 1947,88613441
43292,88613039,NA,NA,c. 1947,88613420
59202,88612799,NA,NA,c. 1947,88613546
49018,88612973,NA,NA,c. 1947,88613461
1188,88612521,NA,NA,c. 1947,88613172
4858,88612116,NA,NA,c. 1947,88613455
42660,88612985,NA,NA,c. 1947,88613408
76843,88612980,NA,NA,c. 1947,88613665
60465,88612201,NA,NA,c. 1947,88613556
76981,88612767,NA,NA,c. 1947,88613666
66912,88612958,NA,NA,c. 1947,88613630
67604,88612910,NA,NA,c. 1947,88613636
54615,88613051,NA,NA,c. 1947,88613510
24275,88613098,NA,NA,c. 1947,88613268
20715,88612458,NA,NA,c. 1947,88613242
40853,88612585,NA,NA,c. 1947,88613384
41396,88612906,NA,NA,c. 1947,88613388
44480,88612954,NA,NA,c. 1947,88613431
33271,88612798,NA,NA,c. 1947,88613311
47474,88612594,NA,NA,c. 1947,88613447
58167,88612970,NA,NA,c. 1947,88613542
14153,88612032,NA,NA,c. 1953,88613185
13740,88612027,NA,NA,c. 1953,88613179
14119,88612029,NA,NA,c. 1953,88613183
995,88612884,NA,NA,c. 1953,88617603
2140,88612937,NA,NA,c. 1953,88613249
22169,88612028,NA,NA,c. 1953,88613254
26841,88612238,NA,NA,c. 1953,88613285
24594,88612821,NA,NA,c. 1953,88613271
33053,88612854,NA,NA,c. 1953,88613309
24935,88612021,NA,NA,c. 1953,88613276
11828,88612028,NA,NA,c. 1953,88613169
37676,88612178,NA,NA,c. 1953,88613352
36734,88612047,NA,NA,c. 1953,88613341
25299,88612790,NA,NA,c. 1953,88613278
11153,88612021,NA,NA,c. 1953,88613162
24020,88612052,NA,NA,c. 1953,88613263
35050,88612046,NA,NA,c. 1953,88613323
29103,88612032,NA,NA,c. 1953,88613292
36728,88613045,NA,NA,c. 1953,88613340
36495,88612530,NA,NA,c. 1953,88613338
30715,88612037,NA,NA,c. 1953,88613301
24081,88612046,NA,NA,c. 1953,88613265
33346,88613045,NA,NA,c. 1953,88613313
36434,88612509,NA,NA,c. 1953,88613337
36814,88612051,NA,NA,c. 1953,88613343
16359,88612029,NA,NA,c. 1953,88613203
30091,88612850,NA,NA,c. 1953,88613300
6919,88612944,NA,NA,c. 1953,88613645
56046,88612385,NA,NA,c. 1953,88613530
58927,88612034,NA,NA,c. 1953,88613544
20217,88612185,NA,NA,c. 1953,88613235
18984,88612041,NA,NA,c. 1953,88613224
13848,88612263,NA,NA,c. 1953,88613181
14300,88612855,NA,NA,c. 1953,88613188
19652,88612051,NA,NA,c. 1953,88613228
11358,88612505,NA,NA,c. 1953,88613164
11417,88613111,NA,NA,c. 1953,88613165
13873,88612034,NA,NA,c. 1953,88613182
29620,88612316,NA,NA,c. 1953,88613296
11474,88612273,NA,NA,c. 1953,88613166
11228,88612053,NA,NA,c. 1953,88613163
4015,88612515,NA,NA,c. 1953,88613374
53168,88612046,NA,NA,c. 1953,88613495
43184,88612549,NA,NA,c. 1953,88613418
43292,88612041,NA,NA,c. 1953,88613419
54186,88612530,NA,NA,c. 1953,88613507
54188,88612029,NA,NA,c. 1953,88613508
33903,88612050,NA,NA,c. 1953,88613318
45226,88612051,NA,NA,c. 1953,88613437
37260,88612707,NA,NA,c. 1953,88613349
38871,88612881,NA,NA,c. 1953,88613360
33907,88612223,NA,NA,c. 1953,88613319
36139,88613003,NA,NA,c. 1953,88613331
47811,88612134,NA,NA,c. 1953,88613450
33944,88612051,NA,NA,c. 1953,88613320
36320,88612609,NA,NA,c. 1953,88613334
36358,88612031,NA,NA,c. 1953,88613336
37252,88612031,NA,NA,c. 1953,88613348
37509,88612704,NA,NA,c. 1953,88613351
38790,88612051,NA,NA,c. 1953,88613359
54958,88612883,NA,NA,c. 1953,88613522
38972,88613037,NA,NA,c. 1953,88613362
38936,88613083,NA,NA,c. 1953,88613361
10282,88612027,NA,NA,c. 1953,88613152
6700,88612884,NA,NA,c. 1953,88613632
18881,88612021,NA,NA,c. 1953,88613223
18555,88612899,NA,NA,c. 1953,88613221
35253,88612034,NA,NA,c. 1953,88613325
36889,88612307,NA,NA,c. 1953,88613345
37874,88612509,NA,NA,c. 1953,88613355
37103,88612080,NA,NA,c. 1953,88613346
10439,88612046,NA,NA,c. 1953,88613153
9861,88612864,NA,NA,c. 1953,88617599
9805,88612549,NA,NA,c. 1953,88617597
9850,88612712,NA,NA,c. 1953,88617598
51212,88612035,NA,NA,c. 1953,88613475
51184,88612040,NA,NA,c. 1953,88613474
69221,88613091,NA,NA,c. 1953,88613647
40290,88612313,NA,NA,c. 1953,88613376
40368,88612053,NA,NA,c. 1953,88613378
41766,88612864,NA,NA,c. 1953,88613395
40493,88612179,NA,NA,c. 1953,88613380
40544,88612053,NA,NA,c. 1953,88613383
40339,88612051,NA,NA,c. 1953,88613377
69354,88612053,NA,NA,c. 1953,88613648
60930,88612295,NA,NA,c. 1953,88613562
61010,88612707,NA,NA,c. 1953,88613563
68457,88612029,NA,NA,c. 1953,88613641
68475,88612043,NA,NA,c. 1953,88613643
77346,88612178,NA,NA,c. 1953,88613669
61295,88612046,NA,NA,c. 1953,88613565
61153,88612052,NA,NA,c. 1953,88613564
61515,88612046,NA,NA,c. 1953,88613570
59453,88612018,NA,NA,c. 1953,88613547
65101,88613027,NA,NA,c. 1953,88613606
65352,88612034,NA,NA,c. 1953,88613608
65455,88612031,NA,NA,c. 1953,88613610
54803,88612053,NA,NA,c. 1953,88613516
51981,88612212,NA,NA,c. 1953,88613484
51298,88612018,NA,NA,c. 1953,88613476
52097,88612937,NA,NA,c. 1953,88613486
50005,88612707,NA,NA,c. 1953,88613465
75976,88612936,NA,NA,c. 1953,88613664
50360,88612045,NA,NA,c. 1953,88613468
38304,88612040,NA,NA,c. 1953,88613358
17649,88612043,NA,NA,c. 1953,88613212
16534,88612029,NA,NA,c. 1953,88613205
44391,88612021,NA,NA,c. 1953,88613429
44210,88612041,NA,NA,c. 1953,88613428
50850,88612842,NA,NA,c. 1953,88613473
50557,88612047,NA,NA,c. 1953,88613469
65686,88612018,NA,NA,c. 1953,88613611
46857,88612051,NA,NA,c. 1953,88613443
4285,88612051,NA,NA,c. 1953,88613412
62909,88612051,NA,NA,c. 1953,88613579
62899,88612027,NA,NA,c. 1953,88613578
49018,88612937,NA,NA,c. 1953,88613460
2868,88612937,NA,NA,c. 1953,88613290
77134,88612532,NA,NA,c. 1953,88613667
2965,88612510,NA,NA,c. 1953,88613298
