person_id,degree_id,job_id
33418,88617780,88613314
11137,NA,88613161
1846,NA,88613220
16633,NA,88613206
9715,NA,88617594
9698,NA,88617593
9698,NA,88617592
71947,NA,88613660
71947,NA,88613659
22764,NA,NA
46387,NA,88613441
43292,NA,88613420
43292,NA,88613419
61295,88618058,88613565
59202,NA,88613546
59202,NA,88613545
49018,88617948,88613461
49018,88617948,88613460
49018,88617948,88613459
24241,NA,NA
1188,88617627,88613172
1188,88617627,88613173
1188,88617627,88613174
4858,NA,88613455
4858,NA,88613456
4858,NA,88613454
65572,NA,NA
42660,NA,88613408
60882,NA,NA
76843,NA,88613665
60465,NA,88613556
60465,NA,88613557
60460,NA,88613555
60460,NA,88613554
76981,NA,88613666
66912,NA,88613630
67604,NA,88613636
54615,NA,88613510
24275,88617724,88613268
24275,88617724,88613267
24275,88617724,88613266
20715,NA,88613242
20715,NA,88613241
14816,NA,NA
40853,NA,88613384
41396,NA,88613388
41396,NA,88613387
44480,NA,88613431
44480,NA,88613430
53816,88617992,NA
32446,NA,NA
33271,NA,88613311
47474,NA,88613447
58167,NA,88613542
58167,NA,88613541
56692,NA,88613534
13715,NA,NA
14153,NA,88613185
13740,NA,88613179
14119,88617638,88613183
14119,88617638,88613184
995,NA,88617603
995,NA,88617602
1796,NA,NA
2140,NA,88613249
2140,NA,88613248
23573,NA,NA
22169,NA,88613254
26841,88617738,88613285
25312,NA,NA
24594,NA,88613271
24594,NA,88613270
33053,NA,88613309
33053,NA,88613310
24935,NA,88613276
11828,NA,88613169
11828,NA,88613170
11828,NA,88613171
37676,NA,88613352
37676,NA,88613353
36734,88617813,88613341
25299,NA,88613278
25299,NA,88613277
11153,NA,88613162
29496,NA,88613294
27473,NA,NA
11875,NA,NA
24020,NA,88613263
24060,NA,NA
35050,NA,88613323
29103,88617753,88613292
11114,NA,88613160
36728,88617811,88613340
36728,88617811,88613339
36495,88617810,88613338
30715,NA,88613301
30715,NA,88613302
24081,88617721,88613265
24081,88617721,88613264
34062,NA,NA
33346,NA,88613313
33346,NA,88613312
36434,NA,88613337
36814,88617816,88613343
16359,88617656,88613203
16359,88617656,88613204
30091,88617759,88613300
30091,88617759,88613299
6919,NA,88613645
6919,NA,88613646
56046,NA,88613530
58927,NA,88613544
20217,NA,88613235
20217,NA,88613236
18984,NA,88613224
16581,88617658,NA
13848,NA,88613181
14300,NA,88613188
14300,NA,88613186
14300,NA,88613187
19652,NA,88613228
19652,NA,88613227
11358,NA,88613164
11417,NA,88613165
13873,NA,88613182
29620,NA,88613296
11253,NA,NA
11474,NA,88613166
11344,NA,NA
11228,88617616,88613163
4015,NA,88613374
53177,NA,88613496
53168,NA,88613495
43184,NA,88613418
43184,NA,88613417
44741,NA,NA
54186,NA,88613507
54188,88618000,88613508
54188,88618000,88613509
33903,NA,88613318
45226,NA,88613437
37260,88617821,88613349
38871,NA,88613360
54836,NA,NA
33907,88617785,88613319
36139,NA,88613331
36139,NA,88613332
21535,NA,88613251
47811,NA,88613450
47811,NA,88613451
33944,NA,88613320
36320,NA,88613334
36320,NA,88613335
36358,88617806,88613336
37252,88617819,88613348
37252,88617820,88613348
37509,NA,88613351
34774,NA,NA
38790,NA,88613359
45680,88617914,NA
54958,NA,88613522
54958,NA,88613521
54958,NA,88613523
38972,NA,88613362
38936,NA,88613361
8932,NA,NA
10282,NA,88613152
6700,NA,88613632
6700,NA,88613631
5949,NA,88613548
77766,NA,NA
18881,NA,88613223
18555,NA,88613221
18555,NA,88613222
18909,NA,NA
6464,88618093,NA
56931,88618024,88613535
56931,88618026,88613535
35253,88617797,88613325
36889,88617817,88613345
36889,88617817,88613344
37874,NA,88613355
37103,NA,88613346
37103,NA,88613347
29046,NA,NA
28727,NA,NA
10439,88617607,88613153
10439,88617607,88613154
9861,88629262,88617599
9656,NA,88617591
9805,NA,88617597
9805,NA,88617596
9805,NA,88617595
9850,NA,88617598
51212,NA,88613475
51184,NA,88613474
34948,NA,88613322
35666,NA,NA
34951,NA,NA
69221,88618145,88613647
40290,NA,88613376
40290,NA,88613375
40368,NA,88613378
40368,NA,88613379
41766,NA,88613395
41766,NA,88613396
41766,NA,88613394
40493,NA,88613380
40493,NA,88613381
40493,NA,88613382
40416,88617856,NA
40416,88617857,NA
40544,NA,88613383
40339,NA,88613377
69354,NA,88613648
60930,NA,88613562
61010,NA,88613563
59504,88618040,NA
68457,88618138,88613641
68457,88618138,88613642
68475,NA,88613643
72709,88618165,88613662
77346,NA,88613669
77346,NA,88613668
61153,NA,88613564
61515,NA,88613570
61515,NA,88613571
59453,88618037,88613547
65101,NA,88613606
65352,88618102,88613608
65455,NA,88613610
65455,NA,88613609
54803,NA,88613516
54803,NA,88613517
3499,NA,NA
51981,88617976,88613484
51298,NA,88613476
51298,NA,88613477
52097,NA,88613486
52097,NA,88613485
50005,NA,88613465
75976,NA,88613664
75976,NA,88613663
50360,NA,88613468
38304,NA,88613358
38286,NA,NA
38410,NA,NA
17649,88617666,88613212
16534,88617657,88613205
44391,NA,88613429
44210,88617901,88613428
43972,NA,NA
50850,NA,88613473
50557,NA,88613469
65651,88618105,NA
70846,NA,NA
65686,88618106,88613611
65686,88618106,88613612
46857,NA,88613443
46857,NA,88613444
4285,NA,88613412
4285,NA,88613413
62909,NA,88613579
62899,NA,88613578
48833,NA,NA
2868,NA,88613290
2868,NA,88613289
77134,NA,88613667
2965,NA,88613298
2965,NA,88613297
3202,NA,88613306
3607,NA,88613329
3607,NA,88613330
2334,NA,88613259
7183,NA,88613658
7181,NA,88613657
1165,NA,88613168
1165,NA,88613167
1160,NA,NA
1075,NA,NA
7266,NA,88613661
1068,NA,88613155
42667,88617885,88613409
42667,88617885,88613410
42667,88617884,88613409
42667,88617884,88613410
39445,NA,88613364
39445,NA,88613365
55714,88618016,88613529
55646,88618012,88613525
56641,NA,NA
55705,88618013,88613526
55705,88618013,88613527
55705,88618013,88613528
55495,NA,NA
56628,NA,88613533
56295,NA,88613531
26408,NA,88613282
24716,NA,88613273
24716,NA,88613272
26423,NA,NA
25766,NA,88613279
27318,NA,NA
24792,NA,88613275
4841,NA,NA
15887,NA,88613199
5302,NA,88613494
5302,NA,88613493
5322,NA,NA
5398,NA,NA
52659,88617981,88613490
52659,88617981,88613489
52352,NA,88613487
61591,88618062,88613572
20675,NA,88613240
20675,NA,88613239
23117,NA,88613258
16708,NA,88613207
24330,NA,88613269
26139,NA,88613281
26139,NA,88613280
23507,NA,NA
16657,NA,NA
24086,NA,NA
26729,NA,88613284
26729,NA,88613283
26925,NA,NA
24069,NA,NA
18517,NA,NA
74511,88618166,NA
31136,NA,NA
23105,NA,NA
30392,NA,NA
17498,88617664,88613211
23292,NA,NA
28289,NA,88613288
14965,NA,88613193
14965,NA,88613192
17400,NA,88613210
17400,NA,88613209
19754,NA,NA
16238,NA,88613200
12851,NA,88613175
31203,88617767,88613305
63516,88618081,88613588
63516,88618081,88613587
64321,NA,88613596
64321,NA,88613597
63184,NA,88613583
64963,NA,NA
64504,NA,88613600
64504,NA,88613599
64495,NA,88613598
64775,NA,88613604
66339,88618116,88613622
64716,NA,88613603
66909,NA,88613629
64616,NA,88613601
64616,NA,88613602
66659,NA,NA
62954,NA,NA
64799,NA,88613605
63428,88618080,88613586
63428,88618080,88613584
63428,88618080,88613585
61342,NA,88613567
61342,NA,88613566
66262,NA,88613621
66465,NA,88613624
66467,NA,88613625
69613,88618148,NA
66769,NA,88613627
66769,NA,88613626
68309,NA,88613640
62589,NA,NA
61399,NA,88613569
61399,NA,88613568
62938,NA,88613580
62619,88618071,88613575
13777,NA,88613180
17934,88617670,88613216
15717,88617650,88613195
17922,NA,88613214
17922,NA,88613215
15873,88617652,88613198
18164,NA,88613217
20866,NA,88613243
19047,NA,88613226
19047,NA,88613225
7622,88618168,NA
61622,NA,NA
62230,NA,NA
60164,NA,88613551
60746,NA,88613560
60746,NA,88613559
48883,NA,88613457
48883,NA,88613458
48897,NA,NA
53479,NA,88613499
53479,NA,88613500
53437,NA,88613498
54625,NA,88613512
54625,NA,88613511
45306,88617910,NA
39150,NA,88613363
39152,NA,NA
46419,NA,NA
46602,NA,NA
53731,NA,88613501
21227,NA,88613247
52893,NA,88613492
62804,NA,88613577
62804,NA,88613576
68947,88618141,88613644
44637,NA,88613432
21458,NA,88613250
53932,NA,NA
54083,NA,88613506
35366,NA,88613326
46118,NA,88613439
44835,NA,88613436
44835,NA,88613435
45516,NA,88613438
44820,NA,88613433
44820,NA,88613434
35520,NA,NA
46193,NA,88613440
37369,88617823,88613350
43025,NA,88613416
43025,NA,88613415
43058,NA,NA
42979,NA,88613414
6240,88618066,88613574
6258,88618069,NA
6258,88618070,NA
42521,NA,88613407
14770,NA,88613191
17666,NA,88613213
19701,NA,88613229
15240,NA,NA
43626,NA,88613425
43374,88617895,88613421
43614,NA,88613422
43614,NA,88613423
43614,NA,88613424
54695,NA,88613513
54697,88618004,88613515
54697,88618004,88613514
71136,NA,88613654
71136,NA,88613655
71388,NA,NA
53837,NA,88613502
53860,NA,88613503
20047,NA,88613233
19978,NA,88613232
15825,88617651,88613197
15825,88617651,88613196
67022,NA,88613633
3473,NA,NA
3406,NA,88613321
19843,NA,88613230
19843,NA,88613231
40033,NA,88613369
40033,NA,88613370
40001,NA,88613368
40102,88617850,88613372
40102,88617850,88613373
42389,NA,88613404
42380,NA,88613403
42380,NA,88613402
42004,88617874,88613399
42004,88617874,88613398
42046,NA,NA
41537,88617867,88613390
41537,88617867,88613389
41170,NA,NA
42036,NA,88613400
41251,88617863,88613385
41251,88617863,88613386
42426,NA,88613405
42426,NA,88613406
42214,NA,88613401
41677,88617868,88613391
41677,88617868,88613392
41677,88617868,88613393
32558,NA,88613308
46881,NA,NA
47348,88617924,88613445
47365,NA,NA
18326,88617673,88613219
18326,88617673,88613218
36044,NA,88613327
36044,NA,88613328
3810,88617829,88613356
44075,NA,88613427
28021,NA,NA
28085,NA,88613287
36754,NA,88613342
50151,NA,88613466
50608,NA,88613470
50617,NA,88613472
50617,NA,88613471
49433,NA,88613463
50644,NA,NA
50590,NA,NA
49359,88617950,88613462
53960,NA,88613505
57299,NA,88613536
57508,NA,88613538
54888,NA,NA
54917,NA,88613518
54917,NA,88613519
47765,NA,NA
47767,NA,88613448
47767,NA,88613449
30992,88617763,88613303
67734,NA,NA
67853,NA,88613639
69459,88618147,88613649
67160,NA,88613634
67840,NA,88613637
66414,NA,88613623
60287,NA,NA
60203,NA,88613553
60203,NA,88613552
65748,NA,88613613
65748,NA,88613614
65845,NA,NA
66072,NA,88613620
66072,NA,88613619
66059,NA,88613618
66059,NA,88613617
66056,NA,88613616
66056,NA,88613615
57351,NA,88613537
59902,NA,NA
55170,NA,88613524
63704,NA,88613590
59778,NA,88613550
60407,NA,NA
59776,NA,88613549
65250,88618100,88613607
49923,NA,88613464
52467,NA,88613488
21141,NA,88613246
47972,NA,88613452
48047,NA,NA
39633,NA,NA
40047,NA,88613371
39686,NA,88613366
39831,NA,88613367
29062,NA,88613291
20140,88617689,88613234
14612,88617642,88613190
14612,88617642,88613189
12940,NA,88613176
13141,NA,NA
46696,NA,88613442
33713,88617783,88613317
33713,88617783,88613316
33713,88617783,88613315
2367,NA,88613260
2367,NA,88613261
2392,NA,88613262
64154,88618089,88613594
64154,88618089,88613595
13314,88617634,88613178
13314,88617634,88613177
12585,NA,NA
12597,NA,NA
63974,88618086,88613592
64013,NA,88613593
48205,88617937,88613453
57071,NA,NA
58221,NA,NA
57925,NA,88613539
57925,NA,88613540
9906,NA,88617600
9906,NA,88617601
10099,NA,88613151
74189,NA,NA
53422,88617989,88613497
49721,NA,NA
49818,NA,NA
51747,NA,88613478
51749,NA,88613479
51769,NA,88613480
51863,NA,NA
51791,NA,88613481
51791,NA,88613482
51870,NA,88613483
21055,NA,88613245
21055,NA,88613244
32266,88617771,88613307
22514,NA,NA
22041,NA,88613253
22041,NA,88613252
16256,NA,88613202
10705,88617609,88613156
10705,88617609,88613157
10705,88617609,88613158
10709,88617610,88613159
77732,NA,NA
33350,NA,NA
36398,NA,NA
19368,NA,NA
35012,88617794,NA
34652,88617789,NA
1073,NA,NA
15654,NA,NA
60637,88618051,NA
29765,NA,NA
21327,88617699,NA
24118,NA,NA
29493,NA,88613293
32928,NA,NA
30097,NA,NA
52765,NA,88613491
20410,NA,88613237
36301,88617804,88613333
54926,NA,88613520
37466,NA,NA
69748,88618149,NA
8979,NA,88617590
7986,NA,NA
8951,88629254,NA
37750,NA,88613354
35174,88617796,88613324
29535,NA,88613295
71691,NA,88613656
13579,NA,NA
14370,NA,NA
9691,NA,NA
31844,88617769,NA
40467,NA,NA
40372,NA,NA
60977,NA,NA
65023,88618098,NA
68150,88618136,NA
71099,NA,88613652
70985,NA,88613650
71074,88618153,88613651
70961,NA,NA
47565,NA,NA
47696,NA,NA
47613,NA,NA
52227,NA,NA
17591,NA,NA
43890,NA,88613426
50858,NA,NA
48783,NA,NA
4239,NA,NA
3100,NA,88613304
8593,NA,88613672
6648,NA,NA
7242,NA,NA
42675,88617887,88613411
39480,NA,NA
55712,NA,NA
56604,NA,88613532
22864,NA,88613257
22837,NA,88613256
24787,88617728,88613274
38254,NA,88613357
3585,NA,NA
22392,88617707,NA
22392,88617708,NA
22326,88617706,88613255
17377,NA,88613208
27756,NA,NA
20057,NA,NA
16249,NA,88613201
20648,NA,88613238
26874,NA,NA
63555,NA,88613589
77203,88618171,NA
66691,NA,NA
66898,NA,88613628
63033,NA,88613581
67492,NA,88613635
60469,NA,88613558
7720,NA,NA
60825,88618053,88613561
48954,88617946,NA
48965,NA,NA
46651,NA,NA
46599,NA,NA
45448,NA,NA
38461,88617834,NA
38486,NA,NA
14821,NA,NA
71368,NA,NA
42332,NA,NA
50208,NA,88613467
58817,NA,88613543
53948,NA,88613504
67851,88618134,88613638
65331,NA,NA
61912,88618064,88613573
63761,NA,88613591
49888,NA,NA
40089,NA,NA
77558,88618173,88613670
8888,88629251,88617588
8895,88629252,88617589
47457,NA,88613446
41296,NA,NA
46299,88617917,NA
39007,NA,NA
2005,NA,NA
33002,88617775,NA
33370,NA,NA
31553,NA,NA
56233,NA,NA
15343,NA,NA
15046,88617646,88613194
11455,NA,NA
71112,NA,88613653
7870,88618175,NA
38864,NA,NA
44511,88617904,NA
48356,NA,NA
38774,NA,NA
71796,88618159,NA
41860,NA,88613397
40512,NA,NA
41780,NA,NA
68622,NA,NA
59348,NA,NA
65729,NA,NA
8208,NA,88613671
39383,NA,NA
27355,NA,NA
26344,NA,NA
4808,NA,NA
21563,NA,NA
27814,NA,88613286
63019,88618076,NA
62404,NA,NA
63153,NA,88613582
42825,88617888,NA
48763,NA,NA
41421,NA,NA
41979,NA,NA
42197,NA,NA
52426,NA,NA
368,NA,NA
58515,NA,NA
33436,NA,NA
12900,NA,NA
48226,NA,NA
49803,NA,NA
4923,88617949,NA
17297,88617661,NA
62431,88618068,NA
69130,88618142,NA
41939,88617872,NA
67222,88618129,NA
88611760,NA,88617522
88602576,NA,88614764
88605155,NA,NA
88604582,NA,88615709
88604735,NA,88615793
88611352,88628778,88617319
88611352,88628778,88617318
88611352,88628777,88617319
88611352,88628777,88617318
88611351,NA,88617317
88601667,NA,88614357
88602453,NA,NA
88603845,88621778,88615335
88603845,88621778,88615336
88603776,NA,88615296
88611283,NA,88617283
88600821,NA,88614024
88602141,88620157,88614534
88611182,88628617,88617237
88611182,88628617,88617236
88600147,NA,88613723
88611415,NA,88617358
88600437,NA,88613863
88602752,NA,NA
88604097,NA,88615458
88601525,NA,NA
88601203,NA,88614199
88603767,88621704,88615291
88603767,88621704,88615290
88602758,NA,88614847
88600766,NA,NA
88600772,NA,88614005
88610971,88628407,88617123
88610971,88628407,88617122
88602667,NA,88614809
88611212,88628650,88617251
88604928,NA,NA
88600614,NA,88613941
88605132,NA,88615941
88601473,88619534,88614297
88601471,NA,NA
88600660,NA,88613959
88600716,88618826,88613979
88600716,88618826,88613978
88600694,88618804,NA
88600733,88618841,88613986
88600733,88618841,88613984
88600733,88618841,88613985
88602150,88620166,88614543
88602150,88620166,88614542
88603403,NA,88615093
88610870,NA,88617069
88604079,NA,88615442
88600259,NA,88613775
88603719,NA,88615270
88611873,NA,NA
88604837,NA,NA
88603568,NA,88615188
88603568,NA,88615187
88603566,NA,88615185
88600096,NA,88613703
88603458,NA,88615112
88603310,88621275,NA
88604595,88622463,88615718
88604595,88622463,88615717
88604595,88622463,88615719
88604736,NA,88615794
88604205,NA,NA
88604177,NA,88615501
88601166,NA,88614184
88600038,NA,88613683
88612011,NA,NA
88612015,NA,88617586
88612016,NA,88617587
88605064,NA,88615907
88601698,88619748,88614369
88601698,88619748,88614367
88601698,88619748,88614368
88602688,88620681,88614821
88602688,88620681,88614820
88601099,NA,88614152
88601081,NA,88614143
88601044,NA,NA
88601091,88619167,88614148
88601004,88619090,88614107
88601004,88619090,88614106
88609852,88627340,88616878
88602591,NA,NA
88601111,NA,88614156
88601106,88619179,88614154
88601022,NA,88614117
88601095,NA,NA
88601930,88619963,88614451
88601930,88619963,88614449
88601930,88619963,88614450
88603116,NA,88614966
88605499,NA,88616124
88603506,NA,88615139
88605375,NA,88616064
88605377,NA,88616066
88603548,NA,88615171
88604872,NA,NA
88604419,88622311,88615617
88605482,88623285,88616117
88605482,88623285,88616116
88604158,NA,88615484
88604152,NA,88615481
88603921,NA,88615369
88605437,NA,88616091
88604318,NA,88615575
88600754,NA,88613998
88611085,NA,88617187
88602743,NA,88614844
88611879,NA,88617552
88603714,88621655,88615267
88611259,NA,NA
88611508,NA,88617402
88604025,NA,NA
88611452,NA,88617371
88611450,NA,88617370
88602804,NA,88614861
88604032,88621952,88615422
88604032,88621952,88615421
88600468,NA,88613875
88602656,88620651,88614804
88602656,88620651,88614803
88600475,88618599,88613880
88600457,NA,88613871
88600472,NA,88613878
88600470,NA,88613877
88600522,NA,NA
88604749,NA,88615799
88602255,NA,88614592
88604740,NA,88615797
88604370,88622267,NA
88603958,88621885,88615388
88603958,88621885,88615387
88603728,NA,88615274
88605177,NA,88615961
88600961,88619052,NA
88600993,NA,NA
88600992,NA,88614096
88604700,88622561,88615784
88604700,88622561,88615783
88611587,NA,88617440
88604084,88622002,88615448
88604084,88622002,88615446
88604084,88622002,88615447
88610873,NA,88617070
88600826,NA,88614029
88611135,88628572,NA
88611698,NA,NA
88603429,88621381,88615102
88603429,88621381,88615101
88604737,NA,88615795
88611826,NA,88617540
88603346,88621305,NA
88602230,88620242,88614580
88600430,88618563,88613858
88603281,88621247,NA
88603275,88621241,NA
88603276,88621242,88615022
88603276,88621242,88615021
88610889,88628324,88617078
88603272,88621238,88615018
88600039,88618198,88613684
88602873,88620856,NA
88601188,88619256,88614193
88601188,88619256,88614192
88604770,88622621,88615808
88602482,88620480,88614713
88602482,88620481,88614713
88603598,88621539,88615204
88604554,NA,NA
88604734,NA,NA
88602312,88620322,88614623
88603006,88620981,88614926
88603006,88620981,88614927
88604883,88622723,88615845
88604889,88622730,NA
88603599,88621540,88615205
88604887,88622727,88615846
88604887,88622728,88615846
88611153,88628590,88617220
88600363,88618500,88613823
88604888,88622729,88615847
88611152,88628589,NA
88602463,88620462,88614705
88602463,88620462,88614706
88601427,88619491,88614282
88601427,88619490,88614282
88603596,88621537,88615203
88604308,NA,NA
88611139,88628576,NA
88603594,88621535,NA
88604667,NA,88615761
88611144,88628581,NA
88603597,88621538,NA
88602311,88620321,NA
88604668,88622532,NA
88603595,88621536,88615202
88611147,88628584,88617216
88601429,88619493,88614283
88600586,88618704,88613929
88600586,88618705,88613929
88605392,88623204,88616070
88600583,88618701,88613928
88603814,NA,88615318
88603286,88621252,NA
88604378,88622274,88615600
88604987,88622822,NA
88600815,88618915,88614018
88600815,88618915,88614019
88604958,88622793,NA
88604957,88622792,NA
88604957,88622791,NA
88610846,88628283,88617056
88610846,88628283,88617055
88602363,88620372,NA
88603801,88621736,88615313
88608062,88625710,88616588
88608085,88625733,88616593
88608085,88625733,88616592
88608085,88625732,88616593
88608085,88625732,88616592
88608084,88625731,88616591
88600218,88618364,NA
88604590,NA,NA
88600383,88618521,NA
88600383,88618522,NA
88600795,88618897,88614013
88600795,88618897,88614014
88600794,88618896,NA
88611899,NA,NA
88605159,88622990,NA
88604588,88622458,88615715
88611378,88628800,88617327
88605430,88623241,NA
88605269,88623095,88616011
88604580,88622451,88615708
88602379,88620388,88614661
88611383,88628805,88617330
88611375,NA,NA
88600812,88618912,88614017
88611369,88628793,88617324
88602772,88620760,88614848
88602772,88620761,88614848
88605160,88622991,NA
88604584,88622454,88615712
88604584,88622454,88615711
88608167,88625805,88616610
88608167,88625805,88616609
88604970,88622806,88615867
88603093,88621063,88614956
88605322,88623143,88616042
88605163,88622994,88615953
88605164,88622996,88615954
88605164,88622996,88615955
88605164,88622995,88615954
88605164,88622995,88615955
88604962,88622796,88615865
88604962,88622796,88615864
88600800,88618901,88614015
88604688,88622552,88615779
88604688,88622552,88615778
88602776,88620765,NA
88603099,88621069,88614960
88603099,88621069,88614961
88600412,NA,NA
88601674,88619725,88614361
88603835,88621767,88615330
88603818,88621751,88615324
88603818,88621751,88615323
88603098,88621068,88614959
88603816,88621749,88615319
88603816,88621749,88615320
88603817,88621750,88615322
88603817,88621750,88615321
88603828,88621761,88615326
88603107,88621077,NA
88600222,88618368,88613756
88611373,88628796,NA
88604986,NA,NA
88605157,88622988,88615950
88602584,88620582,88614770
88602584,88620582,88614769
88602779,88620768,88614851
88602779,88620768,88614852
88611380,88628802,88617329
88611380,88628802,88617328
88600031,88618191,88613677
88604983,88622819,NA
88602590,88620589,88614773
88603841,88621773,88615333
88602589,88620588,88614772
88600818,88618917,88614022
88602778,88620767,NA
88602386,88620393,88614662
88608116,88625758,88616599
88602362,88620371,88614653
88602362,88620371,88614652
88602579,88620577,88614765
88602579,88620577,88614766
88602579,88620578,88614765
88602579,88620578,88614766
88604376,NA,NA
88605267,88623094,NA
88608227,88625859,NA
88604967,88622803,NA
88603827,88621760,88615325
88604587,88622457,88615714
88600209,88618356,88613752
88600209,88618356,88613751
88604589,88622459,88615716
88600208,88618355,88613750
88602773,88620762,88614849
88602773,88620762,88614850
88604382,88622277,88615602
88603104,88621074,NA
88602376,88620385,88614658
88602376,88620385,88614657
88602376,88620386,88614658
88602376,88620386,88614657
88603806,88621741,NA
88601677,88619729,NA
88603812,88621747,88615317
88603096,88621066,NA
88611354,88628779,NA
88603829,NA,NA
88611339,88628765,88617312
88605320,NA,88616041
88603807,88621742,88615314
88604387,88622282,88615605
88611362,88628786,88617321
88604583,88622453,88615710
88611370,88628794,NA
88604964,88622798,88615866
88604964,88622799,88615866
88603832,88621764,88615328
88603830,88621762,88615327
88604685,88622549,88615775
88604685,88622549,88615776
88604685,88622548,88615775
88604685,88622548,88615776
88608112,NA,NA
88608125,88625766,88616602
88603097,88621067,88614957
88603097,88621067,88614958
88602771,88620759,NA
88603819,88621752,NA
88601661,88619712,88614353
88601661,88619713,88614353
88605270,88623096,88616012
88605270,88623096,88616013
88602377,NA,NA
88611357,NA,88617320
88600378,88618515,NA
88600378,88618516,NA
88611360,88628785,NA
88611360,88628784,NA
88602361,88620370,88614651
88602360,88620369,88614650
88605425,88623236,88616089
88605425,88623236,88616087
88605425,88623236,88616088
88611897,NA,NA
88608077,88625724,88616590
88608077,88625724,88616589
88605434,88623244,NA
88611338,88628764,88617311
88604379,88622275,88615601
88608214,88625846,88616620
88604593,88622462,NA
88608225,88625857,88616622
88611361,NA,NA
88605158,88622989,88615951
88611358,88628782,NA
88608100,88625745,NA
88608123,NA,88616601
88611349,88628775,88617316
88611349,88628775,88617315
88604383,88622278,88615603
88603836,88621768,88615331
88604686,88622550,88615777
88611353,NA,NA
88602581,88620580,88614767
88602581,88620580,88614768
88601666,88619718,88614356
88610885,88628320,88617076
88610885,88628320,88617077
88603834,88621766,88615329
88603826,88621759,NA
88605271,88623097,88616014
88600816,NA,88614020
88604979,88622815,88615873
88604979,88622815,88615872
88603842,88621775,88615334
88603842,88621774,88615334
88608221,88625853,NA
88602215,88620227,NA
88605324,88623145,88616043
88600221,88618367,88613755
88611347,88628773,88617314
88602381,NA,NA
88605268,NA,88616010
88603846,88621779,NA
88602378,88620387,88614660
88602378,88620387,88614659
88603089,88621060,88614955
88602954,88620932,88614908
88605362,88623180,88616059
88605362,88623180,88616060
88605314,88623137,88616038
88611019,88628457,NA
88602962,88620939,88614913
88602963,88620940,88614914
88611041,88628480,88617158
88604532,NA,88615682
88606216,88623956,88616244
88602567,88620567,88614760
88605391,88623203,88616069
88605247,88623074,NA
88603581,88621521,88615194
88603581,88621521,88615195
88611285,88628715,88617286
88611285,88628715,88617285
88604634,88622500,88615748
88604634,88622500,88615749
88604505,88622384,88615663
88604505,88622384,88615662
88611386,88628807,88617333
88611386,88628807,88617334
88603113,88621083,NA
88602395,88620402,NA
88605274,NA,NA
88600822,88618920,88614026
88600822,88618920,88614025
88603111,88621081,88614964
88603111,88621081,88614963
88600227,88618372,88613758
88610848,88628285,88617057
88610848,88628286,88617057
88602780,NA,88614853
88602389,88620395,88614663
88601197,88619265,88614198
88601194,88619262,88614195
88601194,88619262,88614196
88600432,88618565,88613860
88603853,88621786,88615337
88600226,88618371,NA
88605166,88622998,88615957
88605166,88622998,88615956
88610943,88628377,88617101
88610944,88628378,88617102
88605085,88622919,NA
88604263,88622167,88615544
88604263,88622167,88615543
88605086,88622920,NA
88604493,88622374,88615652
88604493,88622374,88615653
88602913,88620893,88614898
88603351,88621310,88615057
88600066,88618222,88613692
88601290,88619357,88614234
88605805,88623564,88616175
88605805,88623564,88616176
88603856,88621789,88615340
88602391,88620397,88614665
88603864,88621798,88615343
88603864,88621797,88615343
88611392,88628813,88617338
88603117,88621087,88614967
88602397,88620404,88614670
88602160,88620175,88614551
88602160,88620175,88614552
88603348,88621307,88615055
88603291,88621257,88615028
88600336,88618472,88613805
88600436,88618569,NA
88600436,88618568,NA
88610891,88628327,NA
88610823,88628260,88617041
88602234,88620246,88614584
88602234,88620247,88614584
88600044,88618201,88613685
88602484,88620483,88614715
88602484,88620483,88614716
88611187,88628622,88617239
88611187,88628621,88617239
88604320,88622218,88615576
88604670,NA,88615764
88604670,NA,88615763
88603028,88621001,88614935
88611164,88628601,88617228
88602547,88620544,88614749
88602547,88620544,88614748
88604321,88622219,NA
88606827,88624546,88616363
88600149,88618299,88613725
88600149,88618299,88613724
88600149,88618298,88613725
88600149,88618298,88613724
88604672,88622535,88615765
88603629,88621571,NA
88603026,88621000,88614933
88603640,88621581,88615228
88603640,88621581,88615227
88602716,88620708,88614830
88602716,88620708,88614829
88611185,NA,NA
88602548,88620546,88614750
88602548,88620546,88614751
88602548,88620545,88614750
88602548,88620545,88614751
88603638,88621579,88615226
88605130,88622964,88615940
88601459,NA,NA
88605316,NA,88616040
88603637,88621578,88615224
88603637,88621578,88615225
88611177,NA,NA
88600606,88618722,88613937
88611180,88628615,88617233
88611180,88628615,88617234
88603641,88621582,NA
88603641,88621583,NA
88611181,88628616,88617235
88611188,88628623,NA
88600602,88618718,NA
88603632,88621574,88615220
