person_id,societies,societies_number,societies_date,societies_status
33418,Chinese Institute of Engineers 中華工程師學會,NA,by 1947,Full
11137,Chinese Institute of Engineers 中華工程師學會,NA,by 1947,Full
1846,Chinese Institute of Engineers 中華工程師學會,NA,by 1947,Full
16633,Chinese Institute of Engineers 中華工程師學會,NA,by 1947,Full
9715,Chinese Institute of Engineers 中華工程師學會,NA,by 1947,Junior
9698,Chinese Institute of Engineers 中華工程師學會,NA,by 1947,Full
71947,Chinese Institute of Engineers 中華工程師學會,NA,by 1947,Full
22764,Chinese Institute of Engineers 中華工程師學會,NA,by 1947,Full
46387,Chinese Institute of Engineers 中華工程師學會,NA,by 1947,Full
43292,Chinese Institute of Engineers 中華工程師學會,NA,by 1947,Full
61295,Chinese Institute of Engineers 中華工程師學會,NA,by 1947,Full
59202,Chinese Institute of Engineers 中華工程師學會,NA,by 1947,Full
49018,Chinese Institute of Engineers 中華工程師學會,NA,by 1947,Full
24241,Chinese Institute of Engineers 中華工程師學會,NA,by 1947,Full
1188,Chinese Institute of Engineers 中華工程師學會,NA,by 1947,Full
4858,Chinese Institute of Engineers 中華工程師學會,NA,by 1947,Full
65572,Chinese Institute of Engineers 中華工程師學會,NA,by 1947,Full
42660,Chinese Institute of Engineers 中華工程師學會,NA,by 1947,Full
60882,Chinese Institute of Engineers 中華工程師學會,NA,by 1947,Full
76843,Chinese Institute of Engineers 中華工程師學會,NA,by 1947,Junior
60465,Chinese Institute of Engineers 中華工程師學會,NA,by 1947,Full
60460,Chinese Institute of Engineers 中華工程師學會,NA,by 1947,Full
76981,Chinese Institute of Engineers 中華工程師學會,NA,by 1947,Full
66912,Chinese Institute of Engineers 中華工程師學會,NA,by 1947,Full
67604,Chinese Institute of Engineers 中華工程師學會,NA,by 1947,Full
54615,Chinese Institute of Engineers 中華工程師學會,NA,by 1947,Full
24275,Chinese Institute of Engineers 中華工程師學會,NA,by 1947,Full
20715,Chinese Institute of Engineers 中華工程師學會,NA,by 1947,Full
14816,Chinese Institute of Engineers 中華工程師學會,NA,by 1947,Full
40853,Chinese Institute of Engineers 中華工程師學會,NA,by 1947,Full
41396,Chinese Institute of Engineers 中華工程師學會,NA,by 1947,Full
44480,Chinese Institute of Engineers 中華工程師學會,NA,by 1947,Full
53816,Chinese Institute of Engineers 中華工程師學會,NA,by 1947,Full
32446,Chinese Institute of Engineers 中華工程師學會,NA,by 1947,Full
33271,Chinese Institute of Engineers 中華工程師學會,NA,by 1947,Full
47474,Chinese Institute of Engineers 中華工程師學會,NA,by 1947,Full
