person_id,sources
33418,CIE 1947
11137,CIE 1947
1846,CIE 1947
16633,CIE 1947
9715,CIE 1947
9698,CIE 1947
71947,CIE 1947
22764,CIE 1947
46387,CIE 1947
43292,CIE 1947
61295,CIE 1947
59202,CIE 1947
49018,CIE 1947
24241,CIE 1947
1188,CIE 1947
4858,CIE 1947
65572,CIE 1947
42660,CIE 1947
60882,CIE 1947
76843,CIE 1947
60465,CIE 1947
60460,CIE 1947
76981,CIE 1947
66912,CIE 1947
67604,CIE 1947
54615,CIE 1947
24275,CIE 1947
20715,CIE 1947
14816,CIE 1947
40853,CIE 1947
41396,CIE 1947
44480,CIE 1947
53816,CIE 1947
32446,CIE 1947
33271,CIE 1947
47474,CIE 1947
58167,CIE 1947
56692,CIE 1947
13715,CIE 1953
14153,CIE 1953
13740,CIE 1953
14119,CIE 1953
995,CIE 1953
1796,CIE 1953
2140,CIE 1953
23573,CIE 1953
22169,CIE 1953
26841,CIE 1953
25312,CIE 1953
24594,CIE 1953
33053,CIE 1953
24935,CIE 1953
33418,CIE 1953
11828,CIE 1953
37676,CIE 1953
36734,CIE 1953
25299,CIE 1953
11153,CIE 1953
29496,CIE 1953
27473,CIE 1953
11875,CIE 1953
24020,CIE 1953
24060,CIE 1953
35050,CIE 1953
29103,CIE 1953
11114,CIE 1953
36728,CIE 1953
36495,CIE 1953
30715,CIE 1953
24081,CIE 1953
34062,CIE 1953
33346,CIE 1953
36434,CIE 1953
36814,CIE 1953
16359,CIE 1953
30091,CIE 1953
6919,CIE 1953
56046,CIE 1953
58927,CIE 1953
20217,CIE 1953
18984,CIE 1953
16581,CIE 1953
13848,CIE 1953
14300,CIE 1953
19652,CIE 1953
11358,CIE 1953
11417,CIE 1953
13873,CIE 1953
29620,CIE 1953
11253,CIE 1953
11474,CIE 1953
11344,CIE 1953
11228,CIE 1953
4015,CIE 1953
53177,CIE 1953
53168,CIE 1953
43184,CIE 1953
43292,CIE 1953
44741,CIE 1953
54186,CIE 1953
54188,CIE 1953
33903,CIE 1953
46387,CIE 1953
45226,CIE 1953
37260,CIE 1953
38871,CIE 1953
54836,CIE 1953
33907,CIE 1953
36139,CIE 1953
21535,CIE 1953
47811,CIE 1953
33944,CIE 1953
36320,CIE 1953
36358,CIE 1953
37252,CIE 1953
37509,CIE 1953
34774,CIE 1953
38790,CIE 1953
45680,CIE 1953
54958,CIE 1953
38972,CIE 1953
38936,CIE 1953
8932,CIE 1953
9715,CIE 1953
10282,CIE 1953
6700,CIE 1953
5949,CIE 1953
77766,CIE 1953
18881,CIE 1953
18555,CIE 1953
18909,CIE 1953
9698,CIE 1953
6464,CIE 1953
56931,CIE 1953
35253,CIE 1953
36889,CIE 1953
37874,CIE 1953
37103,CIE 1953
29046,CIE 1953
28727,CIE 1953
10439,CIE 1953
9861,CIE 1953
9656,CIE 1953
9805,CIE 1953
9850,CIE 1953
51212,CIE 1953
51184,CIE 1953
34948,CIE 1953
35666,CIE 1953
34951,CIE 1953
69221,CIE 1953
40290,CIE 1953
40368,CIE 1953
41766,CIE 1953
40493,CIE 1953
40416,CIE 1953
40544,CIE 1953
40339,CIE 1953
69354,CIE 1953
60930,CIE 1953
61010,CIE 1953
59504,CIE 1953
68457,CIE 1953
68475,CIE 1953
72709,CIE 1953
77346,CIE 1953
61295,CIE 1953
61153,CIE 1953
61515,CIE 1953
59453,CIE 1953
65101,CIE 1953
65352,CIE 1953
65455,CIE 1953
54803,CIE 1953
3499,CIE 1953
51981,CIE 1953
51298,CIE 1953
52097,CIE 1953
50005,CIE 1953
75976,CIE 1953
50360,CIE 1953
38304,CIE 1953
38286,CIE 1953
38410,CIE 1953
